cell.type,sample.id,file.i,N.data,max.segments,sum.splits,max.depth
tcell,McGill0004,1,4490,19,32804,8
tcell,McGill0004,1,4490,N.data,69811,29
tcell,McGill0005,1,4774,19,30250,7
tcell,McGill0005,1,4774,N.data,74614,27
tcell,McGill0007,1,4089,19,32290,11
tcell,McGill0007,1,4089,N.data,65131,29
tcell,McGill0008,1,3933,19,21981,7
tcell,McGill0008,1,3933,N.data,61703,31
tcell,McGill0009,1,5757,19,40266,8
tcell,McGill0009,1,5757,N.data,93934,31
tcell,McGill0011,1,5170,19,32545,7
tcell,McGill0011,1,5170,N.data,76664,25
tcell,McGill0024,1,5872,19,39013,8
tcell,McGill0024,1,5872,N.data,97190,31
tcell,McGill0025,1,3156,19,19777,8
tcell,McGill0025,1,3156,N.data,47493,27
tcell,McGill0026,1,3512,19,25674,8
tcell,McGill0026,1,3512,N.data,56894,30
tcell,McGill0027,1,4542,19,25997,6
tcell,McGill0027,1,4542,N.data,67908,26
tcell,McGill0028,1,4129,19,29984,9
tcell,McGill0028,1,4129,N.data,64979,27
tcell,McGill0029,1,4049,19,27690,11
tcell,McGill0029,1,4049,N.data,64017,30
tcell,McGill0102,1,4820,19,31041,8
tcell,McGill0102,1,4820,N.data,74193,30
tcell,McGill0106,1,4227,19,29125,7
tcell,McGill0106,1,4227,N.data,67688,28
tcell,McGill0107,1,4686,19,36856,12
tcell,McGill0107,1,4686,N.data,77743,30
monocyte,McGill0001,1,4933,19,32503,8
monocyte,McGill0001,1,4933,N.data,77696,28
monocyte,McGill0002,1,3642,19,26299,9
monocyte,McGill0002,1,3642,N.data,55167,27
monocyte,McGill0079,1,7257,19,44533,7
monocyte,McGill0079,1,7257,N.data,116134,27
monocyte,McGill0101,1,2637,19,17515,8
monocyte,McGill0101,1,2637,N.data,38995,27
monocyte,McGill0104,1,4909,19,26513,7
monocyte,McGill0104,1,4909,N.data,80317,30
bcell,McGill0322,1,3954,19,27907,9
bcell,McGill0322,1,3954,N.data,61270,26
tcell,McGill0004,2,21497,19,116869,8
tcell,McGill0004,2,21497,N.data,393682,41
tcell,McGill0005,2,25911,19,164039,9
tcell,McGill0005,2,25911,N.data,489926,39
tcell,McGill0007,2,24950,19,133936,8
tcell,McGill0007,2,24950,N.data,458746,40
tcell,McGill0008,2,22325,19,131425,9
tcell,McGill0008,2,22325,N.data,403540,34
tcell,McGill0009,2,32972,19,178244,7
tcell,McGill0009,2,32972,N.data,619709,36
tcell,McGill0011,2,32177,19,183735,9
tcell,McGill0011,2,32177,N.data,627054,40
tcell,McGill0024,2,29639,19,183411,9
tcell,McGill0024,2,29639,N.data,529618,35
tcell,McGill0025,2,18814,19,110545,8
tcell,McGill0025,2,18814,N.data,345629,38
tcell,McGill0026,2,17373,19,105081,8
tcell,McGill0026,2,17373,N.data,307053,32
tcell,McGill0027,2,27984,19,174526,8
tcell,McGill0027,2,27984,N.data,537988,43
tcell,McGill0028,2,24834,19,142735,6
tcell,McGill0028,2,24834,N.data,452822,36
tcell,McGill0029,2,20541,19,107976,8
tcell,McGill0029,2,20541,N.data,372035,33
tcell,McGill0102,2,31635,19,162535,8
tcell,McGill0102,2,31635,N.data,574802,35
tcell,McGill0106,2,27588,19,163466,8
tcell,McGill0106,2,27588,N.data,511009,44
tcell,McGill0107,2,26231,19,154986,9
tcell,McGill0107,2,26231,N.data,475988,34
monocyte,McGill0001,2,26288,19,152887,7
monocyte,McGill0001,2,26288,N.data,494388,38
monocyte,McGill0002,2,16372,19,99389,8
monocyte,McGill0002,2,16372,N.data,294789,41
monocyte,McGill0079,2,30622,19,185642,9
monocyte,McGill0079,2,30622,N.data,587140,34
monocyte,McGill0101,2,10503,19,69088,8
monocyte,McGill0101,2,10503,N.data,183484,31
monocyte,McGill0104,2,23680,19,140921,7
monocyte,McGill0104,2,23680,N.data,425171,32
bcell,McGill0322,2,25050,19,168807,11
bcell,McGill0322,2,25050,N.data,475086,34
tcell,McGill0004,3,2786,19,16910,8
tcell,McGill0004,3,2786,N.data,42521,30
tcell,McGill0005,3,3513,19,19628,7
tcell,McGill0005,3,3513,N.data,61783,43
tcell,McGill0007,3,3977,19,23459,11
tcell,McGill0007,3,3977,N.data,65065,37
tcell,McGill0008,3,3006,19,13542,8
tcell,McGill0008,3,3006,N.data,55843,44
tcell,McGill0009,3,4933,19,27463,7
tcell,McGill0009,3,4933,N.data,76067,32
tcell,McGill0011,3,3668,19,16425,10
tcell,McGill0011,3,3668,N.data,57544,33
tcell,McGill0024,3,4519,19,25375,7
tcell,McGill0024,3,4519,N.data,73863,33
tcell,McGill0025,3,2920,19,19117,7
tcell,McGill0025,3,2920,N.data,46414,30
tcell,McGill0026,3,2306,19,13058,7
tcell,McGill0026,3,2306,N.data,31804,27
tcell,McGill0027,3,4597,19,26115,7
tcell,McGill0027,3,4597,N.data,71728,32
tcell,McGill0028,3,5149,19,34695,8
tcell,McGill0028,3,5149,N.data,85191,33
tcell,McGill0029,3,3658,19,20285,7
tcell,McGill0029,3,3658,N.data,61636,32
