cell.type,sample.id,file.i,N.data,max.segments,sum.splits,max.depth
tcell,McGill0102,3,4198,19,24049,6
tcell,McGill0102,3,4198,N.data,65233,29
tcell,McGill0106,3,3144,19,17850,6
tcell,McGill0106,3,3144,N.data,50791,29
tcell,McGill0107,3,4369,19,22739,7
tcell,McGill0107,3,4369,N.data,71264,38
monocyte,McGill0001,3,6164,19,39633,8
monocyte,McGill0001,3,6164,N.data,98752,35
monocyte,McGill0002,3,3996,19,24562,7
monocyte,McGill0002,3,3996,N.data,61177,36
monocyte,McGill0079,3,4114,19,25824,6
monocyte,McGill0079,3,4114,N.data,64642,30
monocyte,McGill0101,3,2674,19,15298,7
monocyte,McGill0101,3,2674,N.data,41352,26
monocyte,McGill0104,3,5199,19,30781,7
monocyte,McGill0104,3,5199,N.data,79758,28
bcell,McGill0322,3,4067,19,23935,10
bcell,McGill0322,3,4067,N.data,69163,35
tcell,McGill0004,4,52088,19,363537,8
tcell,McGill0004,4,52088,N.data,1055697,40
tcell,McGill0005,4,51483,19,337037,8
tcell,McGill0005,4,51483,N.data,1018365,36
tcell,McGill0007,4,48301,19,313464,8
tcell,McGill0007,4,48301,N.data,953500,37
tcell,McGill0008,4,43357,19,298365,7
tcell,McGill0008,4,43357,N.data,878934,38
tcell,McGill0009,4,70644,19,488045,8
tcell,McGill0009,4,70644,N.data,1461452,41
tcell,McGill0011,4,46080,19,310117,10
tcell,McGill0011,4,46080,N.data,936888,40
tcell,McGill0024,4,75242,19,520045,7
tcell,McGill0024,4,75242,N.data,1529798,37
tcell,McGill0025,4,36619,19,239614,8
tcell,McGill0025,4,36619,N.data,709811,37
tcell,McGill0026,4,39993,19,288874,8
tcell,McGill0026,4,39993,N.data,790743,36
tcell,McGill0027,4,55684,19,370426,7
tcell,McGill0027,4,55684,N.data,1142822,44
tcell,McGill0028,4,51995,19,336168,8
tcell,McGill0028,4,51995,N.data,1039413,39
tcell,McGill0029,4,67119,19,454059,7
tcell,McGill0029,4,67119,N.data,1378188,39
tcell,McGill0102,4,62358,19,414885,9
tcell,McGill0102,4,62358,N.data,1297904,39
tcell,McGill0106,4,50689,19,345737,8
tcell,McGill0106,4,50689,N.data,1039848,42
tcell,McGill0107,4,63752,19,410187,8
tcell,McGill0107,4,63752,N.data,1304279,37
monocyte,McGill0001,4,64108,19,409624,8
monocyte,McGill0001,4,64108,N.data,1258652,35
monocyte,McGill0002,4,49473,19,322394,7
monocyte,McGill0002,4,49473,N.data,981733,39
monocyte,McGill0079,4,59944,19,410972,7
monocyte,McGill0079,4,59944,N.data,1198035,36
monocyte,McGill0101,4,38219,19,266859,9
monocyte,McGill0101,4,38219,N.data,773603,39
monocyte,McGill0104,4,60029,19,385904,7
monocyte,McGill0104,4,60029,N.data,1191566,37
bcell,McGill0322,4,51993,19,376020,9
bcell,McGill0322,4,51993,N.data,1076773,38
tcell,McGill0004,5,13470,19,92545,9
tcell,McGill0004,5,13470,N.data,232968,30
tcell,McGill0005,5,14047,19,90750,9
tcell,McGill0005,5,14047,N.data,250677,35
tcell,McGill0007,5,13213,19,78368,8
tcell,McGill0007,5,13213,N.data,227296,32
tcell,McGill0008,5,11318,19,64370,8
tcell,McGill0008,5,11318,N.data,199312,34
tcell,McGill0009,5,17823,19,111291,8
tcell,McGill0009,5,17823,N.data,323071,33
tcell,McGill0011,5,13503,19,69416,9
tcell,McGill0011,5,13503,N.data,229755,29
tcell,McGill0024,5,18070,19,110494,8
tcell,McGill0024,5,18070,N.data,310590,30
tcell,McGill0025,5,9943,19,59338,12
tcell,McGill0025,5,9943,N.data,164773,34
tcell,McGill0026,5,9720,19,63902,10
tcell,McGill0026,5,9720,N.data,163378,29
tcell,McGill0027,5,14999,19,88267,10
tcell,McGill0027,5,14999,N.data,269659,38
tcell,McGill0028,5,13054,19,81217,8
tcell,McGill0028,5,13054,N.data,220874,31
tcell,McGill0029,5,14726,19,91486,9
tcell,McGill0029,5,14726,N.data,248050,29
tcell,McGill0102,5,15393,19,94373,7
tcell,McGill0102,5,15393,N.data,264433,32
tcell,McGill0106,5,13607,19,90365,7
tcell,McGill0106,5,13607,N.data,238307,32
tcell,McGill0107,5,15315,19,100264,9
tcell,McGill0107,5,15315,N.data,268490,32
monocyte,McGill0001,5,16939,19,112028,8
monocyte,McGill0001,5,16939,N.data,299533,32
monocyte,McGill0002,5,12625,19,85106,7
monocyte,McGill0002,5,12625,N.data,218794,40
monocyte,McGill0079,5,17400,19,122187,7
monocyte,McGill0079,5,17400,N.data,323370,41
monocyte,McGill0101,5,8833,19,58874,8
monocyte,McGill0101,5,8833,N.data,157306,34
monocyte,McGill0104,5,15744,19,111322,8
monocyte,McGill0104,5,15744,N.data,291101,32
bcell,McGill0322,5,14068,19,77070,7
bcell,McGill0322,5,14068,N.data,247972,36
tcell,McGill0004,6,3661,19,20121,11
tcell,McGill0004,6,3661,N.data,56596,36
tcell,McGill0005,6,4265,19,27429,8
tcell,McGill0005,6,4265,N.data,65150,28
tcell,McGill0007,6,4193,19,23372,8
tcell,McGill0007,6,4193,N.data,58288,24
tcell,McGill0008,6,3557,19,19999,7
tcell,McGill0008,6,3557,N.data,51069,27
tcell,McGill0009,6,5512,19,31991,9
tcell,McGill0009,6,5512,N.data,85246,30
tcell,McGill0011,6,4285,19,23044,7
tcell,McGill0011,6,4285,N.data,71560,34
tcell,McGill0024,6,5442,19,27338,8
tcell,McGill0024,6,5442,N.data,84678,31
tcell,McGill0025,6,3128,19,16347,7
tcell,McGill0025,6,3128,N.data,45388,27
tcell,McGill0026,6,2911,19,14262,7
tcell,McGill0026,6,2911,N.data,41167,34
tcell,McGill0027,6,4813,19,30164,8
tcell,McGill0027,6,4813,N.data,75149,31
tcell,McGill0028,6,4617,19,26063,6
tcell,McGill0028,6,4617,N.data,68131,30
tcell,McGill0029,6,4305,19,29713,9
tcell,McGill0029,6,4305,N.data,65625,28
tcell,McGill0102,6,5303,19,25947,7
tcell,McGill0102,6,5303,N.data,77115,27
tcell,McGill0106,6,4385,19,23248,7
tcell,McGill0106,6,4385,N.data,61587,27
tcell,McGill0107,6,5252,19,28463,8
tcell,McGill0107,6,5252,N.data,77204,28
monocyte,McGill0001,6,4274,19,22210,5
monocyte,McGill0001,6,4274,N.data,65779,34
monocyte,McGill0002,6,3268,19,18853,10
monocyte,McGill0002,6,3268,N.data,48738,32
monocyte,McGill0079,6,3645,19,20267,8
monocyte,McGill0079,6,3645,N.data,54286,32
monocyte,McGill0101,6,1869,19,10996,10
monocyte,McGill0101,6,1869,N.data,24927,26
monocyte,McGill0104,6,3706,19,19625,6
monocyte,McGill0104,6,3706,N.data,50711,26
bcell,McGill0322,6,4472,19,22927,9
bcell,McGill0322,6,4472,N.data,62217,28
tcell,McGill0004,7,25625,19,161654,8
tcell,McGill0004,7,25625,N.data,493594,38
tcell,McGill0005,7,25796,19,160519,7
tcell,McGill0005,7,25796,N.data,488839,38
tcell,McGill0007,7,23505,19,142479,8
tcell,McGill0007,7,23505,N.data,441416,35
tcell,McGill0008,7,21140,19,141397,7
tcell,McGill0008,7,21140,N.data,385278,33
tcell,McGill0009,7,33298,19,196176,8
tcell,McGill0009,7,33298,N.data,630252,34
tcell,McGill0011,7,23771,19,166844,8
tcell,McGill0011,7,23771,N.data,453038,35
tcell,McGill0024,7,35496,19,221091,9
tcell,McGill0024,7,35496,N.data,685121,39
tcell,McGill0025,7,17994,19,116481,8
tcell,McGill0025,7,17994,N.data,325344,32
tcell,McGill0026,7,19564,19,130580,7
tcell,McGill0026,7,19564,N.data,359226,33
tcell,McGill0027,7,27437,19,170584,7
tcell,McGill0027,7,27437,N.data,519461,36
tcell,McGill0028,7,24369,19,130457,6
tcell,McGill0028,7,24369,N.data,430734,37
tcell,McGill0029,7,29801,19,186592,9
tcell,McGill0029,7,29801,N.data,585959,38
tcell,McGill0102,7,29148,19,155336,8
tcell,McGill0102,7,29148,N.data,543756,34
tcell,McGill0106,7,24780,19,148390,7
tcell,McGill0106,7,24780,N.data,460022,36
tcell,McGill0107,7,29520,19,185828,8
tcell,McGill0107,7,29520,N.data,546556,33
monocyte,McGill0001,7,23743,19,130758,8
monocyte,McGill0001,7,23743,N.data,435436,39
monocyte,McGill0002,7,16537,19,94783,9
monocyte,McGill0002,7,16537,N.data,291086,37
monocyte,McGill0079,7,22098,19,134379,9
monocyte,McGill0079,7,22098,N.data,400152,33
monocyte,McGill0101,7,12458,19,75412,7
monocyte,McGill0101,7,12458,N.data,222423,36
monocyte,McGill0104,7,21771,19,128124,7
monocyte,McGill0104,7,21771,N.data,397436,34
bcell,McGill0322,7,26995,19,139875,7
bcell,McGill0322,7,26995,N.data,485398,33
tcell,McGill0004,8,15901,19,102453,8
tcell,McGill0004,8,15901,N.data,274645,32
tcell,McGill0005,8,16767,19,102003,7
tcell,McGill0005,8,16767,N.data,296705,32
tcell,McGill0007,8,15201,19,95825,7
tcell,McGill0007,8,15201,N.data,270255,39
tcell,McGill0008,8,14451,19,94087,7
tcell,McGill0008,8,14451,N.data,248185,30
tcell,McGill0009,8,22280,19,147260,7
tcell,McGill0009,8,22280,N.data,398941,33
tcell,McGill0011,8,16727,19,123741,11
tcell,McGill0011,8,16727,N.data,320198,36
tcell,McGill0024,8,22880,19,150864,7
tcell,McGill0024,8,22880,N.data,422698,38
tcell,McGill0025,8,11441,19,76757,8
tcell,McGill0025,8,11441,N.data,195416,32
tcell,McGill0026,8,12395,19,84950,8
tcell,McGill0026,8,12395,N.data,214949,33
tcell,McGill0027,8,17060,19,106315,7
tcell,McGill0027,8,17060,N.data,296100,35
tcell,McGill0028,8,15983,19,90314,6
tcell,McGill0028,8,15983,N.data,277077,35
tcell,McGill0029,8,17419,19,118372,10
tcell,McGill0029,8,17419,N.data,314427,31
tcell,McGill0102,8,20989,19,125432,7
tcell,McGill0102,8,20989,N.data,369139,32
tcell,McGill0106,8,17403,19,108135,7
tcell,McGill0106,8,17403,N.data,309006,39
tcell,McGill0107,8,21009,19,136533,8
tcell,McGill0107,8,21009,N.data,364781,30
monocyte,McGill0001,8,18525,19,116847,10
monocyte,McGill0001,8,18525,N.data,335241,35
monocyte,McGill0002,8,14152,19,101444,8
monocyte,McGill0002,8,14152,N.data,254080,41
monocyte,McGill0079,8,21300,19,154901,10
monocyte,McGill0079,8,21300,N.data,404342,34
monocyte,McGill0101,8,9545,19,79487,9
monocyte,McGill0101,8,9545,N.data,187588,35
monocyte,McGill0104,8,17629,19,126285,8
monocyte,McGill0104,8,17629,N.data,327721,36
bcell,McGill0322,8,15417,19,84517,8
bcell,McGill0322,8,15417,N.data,284107,34
tcell,McGill0004,9,8139,19,53560,9
tcell,McGill0004,9,8139,N.data,137484,31
tcell,McGill0005,9,10235,19,63002,9
tcell,McGill0005,9,10235,N.data,183996,31
tcell,McGill0007,9,8818,19,61623,8
tcell,McGill0007,9,8818,N.data,151748,32
tcell,McGill0008,9,9144,19,72918,11
tcell,McGill0008,9,9144,N.data,164762,34
tcell,McGill0009,9,12681,19,95883,11
tcell,McGill0009,9,12681,N.data,228151,32
tcell,McGill0011,9,12070,19,112892,12
tcell,McGill0011,9,12070,N.data,240981,35
tcell,McGill0024,9,12392,19,83540,7
tcell,McGill0024,9,12392,N.data,220204,34
tcell,McGill0025,9,6613,19,47652,7
tcell,McGill0025,9,6613,N.data,116029,34
tcell,McGill0026,9,7004,19,51277,8
tcell,McGill0026,9,7004,N.data,123822,32
tcell,McGill0027,9,9823,19,77244,8
tcell,McGill0027,9,9823,N.data,178742,34
tcell,McGill0028,9,8292,19,55695,10
tcell,McGill0028,9,8292,N.data,139657,33
tcell,McGill0029,9,6738,19,40617,9
tcell,McGill0029,9,6738,N.data,112531,35
tcell,McGill0102,9,11566,19,78755,8
tcell,McGill0102,9,11566,N.data,203924,31
tcell,McGill0106,9,10321,19,78781,8
tcell,McGill0106,9,10321,N.data,194507,35
tcell,McGill0107,9,9603,19,69255,7
tcell,McGill0107,9,9603,N.data,170498,35
monocyte,McGill0001,9,12386,19,98772,9
monocyte,McGill0001,9,12386,N.data,233040,36
monocyte,McGill0002,9,8733,19,68091,10
monocyte,McGill0002,9,8733,N.data,156447,35
monocyte,McGill0079,9,18994,19,152168,9
monocyte,McGill0079,9,18994,N.data,368122,34
monocyte,McGill0101,9,5549,19,42265,10
monocyte,McGill0101,9,5549,N.data,100311,32
monocyte,McGill0104,9,12190,19,79533,8
monocyte,McGill0104,9,12190,N.data,231929,37
bcell,McGill0322,9,9419,19,58388,7
bcell,McGill0322,9,9419,N.data,169425,33
tcell,McGill0004,10,36594,19,239740,9
tcell,McGill0004,10,36594,N.data,774086,49
tcell,McGill0005,10,40940,19,231456,8
tcell,McGill0005,10,40940,N.data,858691,50
tcell,McGill0007,10,38489,19,218088,9
tcell,McGill0007,10,38489,N.data,829185,50
tcell,McGill0008,10,31957,19,199328,9
tcell,McGill0008,10,31957,N.data,693445,56
tcell,McGill0009,10,50873,19,308255,8
tcell,McGill0009,10,50873,N.data,1038557,47
tcell,McGill0011,10,37663,19,229820,10
tcell,McGill0011,10,37663,N.data,829709,55
tcell,McGill0024,10,49136,19,299895,8
tcell,McGill0024,10,49136,N.data,957903,43
tcell,McGill0025,10,31404,19,182779,9
tcell,McGill0025,10,31404,N.data,627286,46
tcell,McGill0026,10,26820,19,174535,9
tcell,McGill0026,10,26820,N.data,542253,51
tcell,McGill0027,10,46805,19,263739,7
tcell,McGill0027,10,46805,N.data,1008185,50
tcell,McGill0028,10,42515,19,245897,9
tcell,McGill0028,10,42515,N.data,930319,55
tcell,McGill0029,10,47134,19,286919,8
tcell,McGill0029,10,47134,N.data,955265,41
tcell,McGill0102,10,40670,19,293988,11
tcell,McGill0102,10,40670,N.data,827861,37
tcell,McGill0106,10,38887,19,232262,7
tcell,McGill0106,10,38887,N.data,740169,37
tcell,McGill0107,10,47595,19,274364,8
tcell,McGill0107,10,47595,N.data,957422,42
monocyte,McGill0001,10,42316,19,270256,10
monocyte,McGill0001,10,42316,N.data,889651,45
monocyte,McGill0002,10,30398,19,206333,11
monocyte,McGill0002,10,30398,N.data,627530,53
monocyte,McGill0079,10,33711,19,211414,9
monocyte,McGill0079,10,33711,N.data,646051,43
monocyte,McGill0101,10,18213,19,133578,8
monocyte,McGill0101,10,18213,N.data,362639,39
monocyte,McGill0104,10,33093,19,209885,9
monocyte,McGill0104,10,33093,N.data,646775,40
bcell,McGill0322,10,38887,19,200987,8
bcell,McGill0322,10,38887,N.data,771989,50
tcell,McGill0004,11,3562,19,23843,9
tcell,McGill0004,11,3562,N.data,55933,32
tcell,McGill0005,11,5282,19,32226,6
tcell,McGill0005,11,5282,N.data,85067,32
tcell,McGill0007,11,5517,19,29440,6
tcell,McGill0007,11,5517,N.data,92558,35
tcell,McGill0008,11,4782,19,31228,8
tcell,McGill0008,11,4782,N.data,76079,33
tcell,McGill0009,11,6661,19,44260,11
tcell,McGill0009,11,6661,N.data,105640,33
tcell,McGill0011,11,6579,19,41842,8
tcell,McGill0011,11,6579,N.data,107737,34
tcell,McGill0024,11,5874,19,37595,7
tcell,McGill0024,11,5874,N.data,90699,27
tcell,McGill0025,11,3786,19,23573,6
tcell,McGill0025,11,3786,N.data,60860,31
tcell,McGill0026,11,3431,19,24831,12
tcell,McGill0026,11,3431,N.data,52994,27
tcell,McGill0027,11,5595,19,34197,7
tcell,McGill0027,11,5595,N.data,87428,29
tcell,McGill0028,11,5337,19,32219,7
tcell,McGill0028,11,5337,N.data,82609,31
tcell,McGill0029,11,2906,19,19476,9
tcell,McGill0029,11,2906,N.data,44694,31
tcell,McGill0102,11,6622,19,41531,6
tcell,McGill0102,11,6622,N.data,105629,32
tcell,McGill0106,11,5179,19,33954,8
tcell,McGill0106,11,5179,N.data,81013,28
tcell,McGill0107,11,4512,19,30029,8
tcell,McGill0107,11,4512,N.data,71895,32
monocyte,McGill0001,11,2119,19,15387,9
monocyte,McGill0001,11,2119,N.data,33762,32
monocyte,McGill0002,11,938,19,5795,10
monocyte,McGill0002,11,938,N.data,13828,28
monocyte,McGill0079,11,1538,19,9542,7
monocyte,McGill0079,11,1538,N.data,21676,28
monocyte,McGill0101,11,199,19,1440,9
monocyte,McGill0101,11,199,N.data,2044,17
monocyte,McGill0104,11,1052,19,7272,9
monocyte,McGill0104,11,1052,N.data,15054,31
bcell,McGill0322,11,2355,19,15412,9
bcell,McGill0322,11,2355,N.data,38278,29
tcell,McGill0004,12,15711,19,82535,7
tcell,McGill0004,12,15711,N.data,273984,40
tcell,McGill0005,12,19975,19,108609,5
tcell,McGill0005,12,19975,N.data,391010,56
tcell,McGill0007,12,20362,19,107499,7
tcell,McGill0007,12,20362,N.data,387568,47
tcell,McGill0008,12,18690,19,100549,7
tcell,McGill0008,12,18690,N.data,342238,41
tcell,McGill0009,12,27676,19,146653,7
tcell,McGill0009,12,27676,N.data,508606,39
tcell,McGill0011,12,24498,19,126381,6
tcell,McGill0011,12,24498,N.data,442342,40
tcell,McGill0024,12,23924,19,121747,8
tcell,McGill0024,12,23924,N.data,431560,43
tcell,McGill0025,12,14769,19,76908,6
tcell,McGill0025,12,14769,N.data,271354,45
tcell,McGill0026,12,13428,19,68296,6
tcell,McGill0026,12,13428,N.data,234959,39
tcell,McGill0027,12,22756,19,123689,6
tcell,McGill0027,12,22756,N.data,430269,45
tcell,McGill0028,12,22360,19,121204,7
tcell,McGill0028,12,22360,N.data,412755,43
tcell,McGill0029,12,13736,19,73182,6
tcell,McGill0029,12,13736,N.data,231212,35
tcell,McGill0102,12,26922,19,141414,7
tcell,McGill0102,12,26922,N.data,477470,38
tcell,McGill0106,12,21472,19,112521,6
tcell,McGill0106,12,21472,N.data,377957,36
tcell,McGill0107,12,19014,19,97971,7
tcell,McGill0107,12,19014,N.data,344357,45
monocyte,McGill0001,12,19908,19,101982,6
monocyte,McGill0001,12,19908,N.data,376281,46
monocyte,McGill0002,12,11053,19,56125,7
monocyte,McGill0002,12,11053,N.data,197297,48
monocyte,McGill0079,12,21047,19,105836,6
monocyte,McGill0079,12,21047,N.data,355577,35
monocyte,McGill0101,12,6148,19,33256,8
monocyte,McGill0101,12,6148,N.data,97587,36
monocyte,McGill0104,12,16502,19,88178,6
monocyte,McGill0104,12,16502,N.data,291995,39
bcell,McGill0322,12,21403,19,107053,7
bcell,McGill0322,12,21403,N.data,399397,37
tcell,McGill0004,13,20744,19,116990,7
tcell,McGill0004,13,20744,N.data,395717,49
tcell,McGill0005,13,24608,19,149368,10
tcell,McGill0005,13,24608,N.data,488745,51
tcell,McGill0007,13,24796,19,141748,6
tcell,McGill0007,13,24796,N.data,502237,42
tcell,McGill0008,13,23173,19,137208,6
tcell,McGill0008,13,23173,N.data,457401,41
tcell,McGill0009,13,34910,19,192699,8
tcell,McGill0009,13,34910,N.data,693632,38
tcell,McGill0011,13,25057,19,140816,9
tcell,McGill0011,13,25057,N.data,524425,47
tcell,McGill0024,13,35187,19,203115,7
tcell,McGill0024,13,35187,N.data,671868,39
tcell,McGill0025,13,17462,19,97603,8
tcell,McGill0025,13,17462,N.data,320294,44
tcell,McGill0026,13,17406,19,108060,9
tcell,McGill0026,13,17406,N.data,330091,38
tcell,McGill0027,13,26503,19,152634,6
tcell,McGill0027,13,26503,N.data,530222,44
tcell,McGill0028,13,30701,19,168844,6
tcell,McGill0028,13,30701,N.data,586851,39
tcell,McGill0029,13,23499,19,137833,9
tcell,McGill0029,13,23499,N.data,432978,37
tcell,McGill0102,13,36489,19,210171,6
tcell,McGill0102,13,36489,N.data,691549,40
tcell,McGill0106,13,26972,19,158808,6
tcell,McGill0106,13,26972,N.data,508812,35
tcell,McGill0107,13,32383,19,184964,6
tcell,McGill0107,13,32383,N.data,584241,35
monocyte,McGill0001,13,17988,19,111416,8
monocyte,McGill0001,13,17988,N.data,361654,41
monocyte,McGill0002,13,10623,19,62478,9
monocyte,McGill0002,13,10623,N.data,207618,45
monocyte,McGill0079,13,12927,19,75773,6
monocyte,McGill0079,13,12927,N.data,254421,52
monocyte,McGill0101,13,4936,19,31306,9
monocyte,McGill0101,13,4936,N.data,83561,40
monocyte,McGill0104,13,13406,19,78487,7
monocyte,McGill0104,13,13406,N.data,260133,47
bcell,McGill0322,13,32857,19,190913,7
bcell,McGill0322,13,32857,N.data,608079,40
tcell,McGill0004,14,128634,19,734685,8
tcell,McGill0004,14,128634,N.data,3136209,58
tcell,McGill0005,14,157976,19,810493,8
tcell,McGill0005,14,157976,N.data,4240172,73
tcell,McGill0007,14,167453,19,913176,8
tcell,McGill0007,14,167453,N.data,4368606,75
tcell,McGill0008,14,125646,19,598264,8
tcell,McGill0008,14,125646,N.data,3357483,89
tcell,McGill0009,14,193300,19,998112,8
tcell,McGill0009,14,193300,N.data,5003445,68
tcell,McGill0011,14,159357,19,746061,8
tcell,McGill0011,14,159357,N.data,4597394,70
tcell,McGill0024,14,173409,19,925999,8
tcell,McGill0024,14,173409,N.data,4257489,65
tcell,McGill0025,14,128508,19,702546,8
tcell,McGill0025,14,128508,N.data,3318233,63
tcell,McGill0026,14,96150,19,500833,9
tcell,McGill0026,14,96150,N.data,2398384,64
tcell,McGill0027,14,189863,19,1080635,8
tcell,McGill0027,14,189863,N.data,4914089,64
tcell,McGill0028,14,190662,19,1072174,8
tcell,McGill0028,14,190662,N.data,5165159,82
tcell,McGill0029,14,157470,19,1117559,9
tcell,McGill0029,14,157470,N.data,3951690,58
tcell,McGill0102,14,138456,19,755795,8
tcell,McGill0102,14,138456,N.data,3233577,57
tcell,McGill0106,14,136643,19,674193,8
tcell,McGill0106,14,136643,N.data,3181675,59
tcell,McGill0107,14,179677,19,1024806,8
tcell,McGill0107,14,179677,N.data,4493221,60
monocyte,McGill0001,14,171767,19,947467,7
monocyte,McGill0001,14,171767,N.data,4248435,78
monocyte,McGill0002,14,100493,19,568630,7
monocyte,McGill0002,14,100493,N.data,2501055,64
monocyte,McGill0079,14,112949,19,628329,8
monocyte,McGill0079,14,112949,N.data,2739999,97
monocyte,McGill0101,14,48674,19,277210,7
monocyte,McGill0101,14,48674,N.data,1014971,53
monocyte,McGill0104,14,109509,19,606931,7
monocyte,McGill0104,14,109509,N.data,2535946,69
bcell,McGill0322,14,152242,19,771750,8
bcell,McGill0322,14,152242,N.data,3954145,66
tcell,McGill0004,15,160719,19,786297,7
tcell,McGill0004,15,160719,N.data,4215978,61
tcell,McGill0005,15,190889,19,913453,7
tcell,McGill0005,15,190889,N.data,5351757,77
tcell,McGill0007,15,207253,19,948805,8
tcell,McGill0007,15,207253,N.data,6158635,78
tcell,McGill0008,15,152909,19,669301,7
tcell,McGill0008,15,152909,N.data,4718826,79
tcell,McGill0009,15,241882,19,1058754,7
