N.data,max.segs,case,package,seconds_median,seconds_min,seconds_max,seconds_timings,computed.ends,valid.ends,loss
4,2,flat,binsegRcpp.list,0.0012905,0.0012519,0.0013383,5,1|4,1|4,412.769955044749
4,2,flat,binsegRcpp.multiset,0.0014605,0.0012625,0.0164719,5,1|4,1|4,412.769955044749
4,2,flat,blockcpd,0.0009034,0.000489,0.1082788,5,1|2|3|4,1|2|3|4,403.377122917698
4,2,flat,changepoint,0.0005231,0.0004145,0.1530252,5,0|4,4,
4,2,best,binsegRcpp.list,0.0012279,0.0012137,0.0014893,5,2|4,2|4,8.34177192339647
4,2,best,binsegRcpp.multiset,0.0011962,0.0011853,0.0012922,5,2|4,2|4,8.34177192339647
4,2,best,blockcpd,0.0004133,0.0003811,0.0004167,5,1|2|3|4,1|2|3|4,6.82194616965205
4,2,best,changepoint,0.0004711,0.0004139,0.0005019,5,0|4,4,
4,2,worst,binsegRcpp.list,0.0019724,0.0019441,0.0020075,5,1|4,1|4,Inf
4,2,worst,binsegRcpp.multiset,0.0019877,0.0019053,0.0023551,5,1|4,1|4,Inf
4,2,worst,blockcpd,0.0007983,0.0007712,0.0008336,5,1|2|3|4,1|2|3|4,Inf
4,2,worst,changepoint,0.0006423,0.0006133,0.0007735,5,0|4,4,
8,4,flat,binsegRcpp.list,0.001373,0.0012465,0.0024438,5,1|3|5|8,1|3|5|8,803.544022578014
8,4,flat,binsegRcpp.multiset,0.0015455,0.0012328,0.001999,5,1|3|5|8,1|3|5|8,803.544022578014
8,4,flat,blockcpd,0.0013595,0.0011263,0.0023844,5,1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|8,784.975126035094
8,4,flat,changepoint,0.0005421,0.0004476,0.0008066,5,0|0|0|8,8,
8,4,best,binsegRcpp.list,0.002372,0.0011972,0.0024447,5,1|3|5|8,1|3|5|8,31.6337217222943
8,4,best,binsegRcpp.multiset,0.001303,0.0011692,0.0027374,5,1|3|5|8,1|3|5|8,31.6337217222943
8,4,best,blockcpd,0.0010167,0.0009729,0.0024414,5,1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|8,25.3953970972548
8,4,best,changepoint,0.0005267,0.0004005,0.0009777,5,0|0|3|8,3|8,
8,4,worst,binsegRcpp.list,0.0014713,0.001442,0.0019271,5,1|2|3|8,1|2|3|8,Inf
8,4,worst,binsegRcpp.multiset,0.0013007,0.0012424,0.0021929,5,1|2|3|8,1|2|3|8,Inf
8,4,worst,blockcpd,0.0014113,0.0013909,0.0014841,5,1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|8,Inf
8,4,worst,changepoint,0.0005167,0.000459,0.0005865,5,0|0|0|8,8,
16,8,flat,binsegRcpp.list,0.0013433,0.0013155,0.0014169,5,1|3|4|5|8|11|14|16,1|3|4|5|8|11|14|16,1578.19725404098
16,8,flat,binsegRcpp.multiset,0.0016934,0.0013629,0.0022383,5,1|3|4|5|8|11|14|16,1|3|4|5|8|11|14|16,1578.19725404098
16,8,flat,blockcpd,0.0030164,0.0029829,0.0049746,5,1|2|3|4|5|6|7|8|9|10|11|12|14|15|16,1|2|3|4|5|6|7|8|9|10|11|12|14|15|16,1545.81307983543
16,8,flat,changepoint,0.0004531,0.0004058,0.0008163,5,0|0|0|0|0|3|13|16,3|13|16,
16,8,best,binsegRcpp.list,0.0012924,0.0012476,0.0020902,5,1|3|5|7|9|11|13|16,1|3|5|7|9|11|13|16,121.982609428378
16,8,best,binsegRcpp.multiset,0.0013976,0.0012458,0.002379,5,1|3|5|7|9|11|13|16,1|3|5|7|9|11|13|16,121.982609428378
16,8,best,blockcpd,0.0025686,0.0025236,0.0038792,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,105.328139893919
16,8,best,changepoint,0.0006494,0.0004919,0.0008803,5,0|0|0|3|6|9|11|16,3|6|9|11|16,
16,8,worst,binsegRcpp.list,0.0015173,0.0012702,0.0015474,5,1|2|3|4|5|6|7|16,1|2|3|4|5|6|7|16,Inf
16,8,worst,binsegRcpp.multiset,0.0014557,0.0013041,0.0015494,5,1|2|3|4|5|6|7|16,1|2|3|4|5|6|7|16,Inf
16,8,worst,blockcpd,0.0049575,0.0048865,0.0062038,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,Inf
16,8,worst,changepoint,0.0006111,0.0005034,0.0007528,5,0|0|0|0|0|0|0|16,16,
32,16,flat,binsegRcpp.list,0.0014253,0.0013274,0.0020446,5,1|3|4|5|8|11|14|19|20|21|23|26|29|30|31|32,1|3|4|5|8|11|14|19|20|21|23|26|29|30|31|32,3132.68227675033
32,16,flat,binsegRcpp.multiset,0.0013363,0.0012897,0.0025733,5,1|3|4|5|8|11|14|19|20|21|23|26|29|30|31|32,1|3|4|5|8|11|14|19|20|21|23|26|29|30|31|32,3132.68227675033
32,16,flat,blockcpd,0.0074582,0.0071262,0.0136186,5,1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32,1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32,3063.2777294816
32,16,flat,changepoint,0.000485,0.0004354,0.0006554,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|32,3|32,
32,16,best,binsegRcpp.list,0.0015488,0.0013133,0.0019758,5,1|2|3|5|7|9|11|13|15|17|19|22|24|27|29|32,1|2|3|5|7|9|11|13|15|17|19|22|24|27|29|32,491.176400441054
32,16,best,binsegRcpp.multiset,0.0022032,0.0013356,0.0025184,5,1|2|3|5|7|9|11|13|15|17|19|22|24|27|29|32,1|2|3|5|7|9|11|13|15|17|19|22|24|27|29|32,491.176400441054
32,16,best,blockcpd,0.0104068,0.007159,0.0120519,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32,446.442040543885
32,16,best,changepoint,0.0008313,0.0006593,0.0011844,5,0|0|0|0|0|0|3|5|9|13|17|20|22|25|27|32,3|5|9|13|17|20|22|25|27|32,
32,16,worst,binsegRcpp.list,0.0012274,0.0012165,0.0018082,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|32,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|32,Inf
32,16,worst,binsegRcpp.multiset,0.0014608,0.0012568,0.00155,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|32,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|32,Inf
32,16,worst,blockcpd,0.0246091,0.0190923,0.0370307,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32,Inf
32,16,worst,changepoint,0.0004713,0.0004294,0.0009418,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,32,
64,32,flat,binsegRcpp.list,0.0023388,0.0015488,0.0025922,5,1|3|4|5|8|14|19|20|21|23|26|29|30|31|32|34|36|38|39|43|45|47|48|52|54|55|56|57|58|60|62|64,1|3|4|5|8|14|19|20|21|23|26|29|30|31|32|34|36|38|39|43|45|47|48|52|54|55|56|57|58|60|62|64,6303.78080283883
64,32,flat,binsegRcpp.multiset,0.0013916,0.0013399,0.0027345,5,1|3|4|5|8|14|19|20|21|23|26|29|30|31|32|34|36|38|39|43|45|47|48|52|54|55|56|57|58|60|62|64,1|3|4|5|8|14|19|20|21|23|26|29|30|31|32|34|36|38|39|43|45|47|48|52|54|55|56|57|58|60|62|64,6303.78080283883
64,32,flat,blockcpd,0.034169,0.0221209,0.0375436,5,1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64,1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64,6160.58977964396
64,32,flat,changepoint,0.0005121,0.0004764,0.0009908,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|64,64,
64,32,best,binsegRcpp.list,0.0012426,0.0012279,0.0015782,5,1|2|3|4|5|7|8|10|11|13|15|17|19|21|23|26|28|30|32|35|37|39|41|44|46|49|51|54|56|59|61|64,1|2|3|4|5|7|8|10|11|13|15|17|19|21|23|26|28|30|32|35|37|39|41|44|46|49|51|54|56|59|61|64,1986.0490734007
64,32,best,binsegRcpp.multiset,0.0015035,0.001238,0.0017444,5,1|2|3|4|5|7|8|10|11|13|15|17|19|21|23|26|28|30|32|35|37|39|41|44|46|49|51|54|56|59|61|64,1|2|3|4|5|7|8|10|11|13|15|17|19|21|23|26|28|30|32|35|37|39|41|44|46|49|51|54|56|59|61|64,1986.0490734007
64,32,best,blockcpd,0.0144846,0.0142432,0.0173509,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64,1874.83180051736
64,32,best,changepoint,0.0008669,0.0006983,0.0013485,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|7|10|13|17|21|24|26|30|33|35|38|44|49|54|57|64,4|7|10|13|17|21|24|26|30|33|35|38|44|49|54|57|64,
64,32,worst,binsegRcpp.list,0.0016854,0.0015647,0.0023533,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|64,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|64,Inf
64,32,worst,binsegRcpp.multiset,0.0021112,0.0013921,0.0025307,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|64,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|64,Inf
64,32,worst,blockcpd,0.1016848,0.0794592,0.1104221,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64,Inf
64,32,worst,changepoint,0.0006488,0.0005373,0.0007922,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|64,64,
128,64,flat,binsegRcpp.list,0.0018766,0.0017089,0.0029447,5,,,12555.5196861362
128,64,flat,binsegRcpp.multiset,0.001508,0.0014345,0.0024957,5,,,12555.5196861362
128,64,flat,blockcpd,0.0518168,0.0456405,0.0754387,5,,,12278.9236092868
128,64,flat,changepoint,0.0011855,0.0007739,0.0013304,5,,,
128,64,best,binsegRcpp.list,0.0016837,0.0014649,0.0024013,5,,,8025.94748835361
128,64,best,binsegRcpp.multiset,0.0020534,0.0014614,0.0024986,5,,,8025.94748835361
128,64,best,blockcpd,0.0424837,0.0362914,0.0480467,5,,,7759.59452151278
128,64,best,changepoint,0.0012854,0.0011796,0.0014145,5,,,
128,64,worst,binsegRcpp.list,0.001892,0.0016803,0.0032215,5,,,Inf
128,64,worst,binsegRcpp.multiset,0.0019241,0.0016681,0.0024634,5,,,Inf
128,64,worst,blockcpd,0.4003286,0.3723628,0.4379312,5,,,Inf
128,64,worst,changepoint,0.0012134,0.0008277,0.0014704,5,,,
256,128,flat,binsegRcpp.list,0.0016773,0.0016125,0.0018559,5,,,25108.111811089
256,128,flat,binsegRcpp.multiset,0.0019391,0.0018824,0.0029264,5,,,25108.111811089
256,128,flat,blockcpd,0.1666865,0.15073,0.1683659,5,,,24546.838939577
256,128,flat,changepoint,0.0014659,0.0013217,0.0020707,5,,,
256,128,best,binsegRcpp.list,0.0016929,0.0014683,0.0094924,5,,,32351.1180844704
256,128,best,binsegRcpp.multiset,0.0015031,0.0014054,0.00168,5,,,32351.1180844704
256,128,best,blockcpd,0.0901507,0.0806747,0.105268,5,,,31728.7427214371
256,128,best,changepoint,0.002402,0.0022747,0.002537,5,,,
256,128,worst,binsegRcpp.list,0.0030901,0.002764,0.0120798,5,,,Inf
256,128,worst,binsegRcpp.multiset,0.0029919,0.0028475,0.0034895,5,,,Inf
256,128,worst,blockcpd,1.53176,1.5048437,1.5575381,5,,,Inf
256,128,worst,changepoint,0.0013775,0.0013644,0.001456,5,,,
512,256,flat,binsegRcpp.list,0.0021987,0.0019641,0.0022507,5,,,50083.2921038176
512,256,flat,binsegRcpp.multiset,0.0021417,0.0019449,0.0028145,5,,,50083.2921038176
512,256,flat,blockcpd,0.3837855,0.3530108,0.3924015,5,,,48961.3204877049
512,256,flat,changepoint,0.0051602,0.0044901,0.0067666,5,,,
512,256,best,binsegRcpp.list,0.0029403,0.0019647,0.003326,5,,,130062.729358014
512,256,best,binsegRcpp.multiset,0.0019194,0.0016625,0.0022444,5,,,130062.729358014
512,256,best,blockcpd,0.2027509,0.1904579,0.2461179,5,,,128660.400863399
512,256,best,changepoint,0.009633,0.0078139,0.0107227,5,,,
512,256,worst,binsegRcpp.list,0.0076918,0.0075154,0.0088862,5,,,Inf
512,256,worst,binsegRcpp.multiset,0.008197,0.0076549,0.0112251,5,,,Inf
512,256,worst,blockcpd,6.0317273,5.8306326,6.1842315,5,,,Inf
512,256,worst,changepoint,0.0048492,0.0044719,0.006139,5,,,
1024,512,flat,binsegRcpp.list,0.0027915,0.00278,0.0045914,5,,,99820.8617815092
1024,512,flat,binsegRcpp.multiset,0.002884,0.0026794,0.0036052,5,,,99820.8617815092
1024,512,flat,blockcpd,0.8433374,0.8264049,0.9020862,5,,,97576.2623149448
1024,512,flat,changepoint,0.0260547,0.0257841,0.0285602,5,,,
1024,512,best,binsegRcpp.list,0.0026998,0.0023286,0.0041222,5,,,521916.975505472
1024,512,best,binsegRcpp.multiset,0.0034976,0.0027391,0.0036142,5,,,521916.975505472
1024,512,best,blockcpd,0.4778131,0.4505228,0.585132,5,,,519548.663643926
1024,512,best,changepoint,0.0388632,0.0360839,0.0395857,5,,,
1024,512,worst,binsegRcpp.list,0.0264724,0.0248982,0.0298364,5,,,Inf
1024,512,worst,binsegRcpp.multiset,0.0262252,0.0250959,0.0278974,5,,,Inf
1024,512,worst,blockcpd,24.4840081,23.7339321,25.0676565,5,,,Inf
1024,512,worst,changepoint,0.0265984,0.0257967,0.0291683,5,,,
2048,1024,flat,binsegRcpp.list,0.0058758,0.0055489,0.0086427,5,,,199889.073514006
2048,1024,flat,binsegRcpp.multiset,0.0048946,0.0048006,0.0079636,5,,,199889.073514006
2048,1024,flat,blockcpd,2.1964062,2.1202864,2.3816054,5,,,195400.160952572
2048,1024,flat,changepoint,0.2105494,0.2027767,0.3863434,5,,,
2048,1024,best,binsegRcpp.list,0.0049211,0.0045896,0.0054246,5,,,2091707.04275378
2048,1024,best,binsegRcpp.multiset,0.0031564,0.0030556,0.0033207,5,,,2091707.04275378
2048,1024,best,blockcpd,1.0417,0.9982887,1.169446,5,,,2089859.28535088
2048,1024,best,changepoint,0.2311822,0.2281516,0.2450597,5,,,
2048,1024,worst,binsegRcpp.list,0.1089928,0.0993843,0.1148403,5,,,Inf
2048,1024,worst,binsegRcpp.multiset,0.1012737,0.1000899,0.1121598,5,,,Inf
2048,1024,worst,blockcpd,96.9377933,95.0583782,99.8892881,5,,,Inf
2048,1024,worst,changepoint,0.1924819,0.1871721,0.2029066,5,,,
4096,2048,flat,binsegRcpp.list,0.0143785,0.0134531,0.0191562,5,,,400096.862182507
4096,2048,flat,binsegRcpp.multiset,0.0101441,0.0100229,0.0115389,5,,,400096.862182507
4096,2048,flat,blockcpd,4.8545352,4.6047383,5.0697654,5,,,391139.333136191
4096,2048,flat,changepoint,1.6954259,1.660932,1.8505049,5,,,
4096,2048,best,binsegRcpp.list,0.014494,0.0136274,0.019235,5,,,8376300.20867572
4096,2048,best,binsegRcpp.multiset,0.0067178,0.0063079,0.0071817,5,,,8376300.20867572
4096,2048,best,blockcpd,2.1039579,2.0255589,2.1840187,5,,,8379065.53972427
4096,2048,best,changepoint,1.5732659,1.5655844,1.7695488,5,,,
4096,2048,worst,binsegRcpp.list,0.3869667,0.3741574,0.4246416,5,,,Inf
4096,2048,worst,binsegRcpp.multiset,0.3862638,0.3751784,0.4059078,5,,,Inf
4096,2048,worst,blockcpd,338.7296024,335.1959767,379.715777,5,,,Inf
4096,2048,worst,changepoint,1.3824874,1.37436,1.3958688,5,,,
8192,4096,flat,binsegRcpp.list,0.0483293,0.0445247,0.0504058,5,,,800570.034556001
8192,4096,flat,binsegRcpp.multiset,0.0250825,0.0245964,0.0254174,5,,,800570.034556001
8192,4096,flat,blockcpd,13.2982077,12.9991161,13.6476961,5,,,782691.89459864
8192,4096,flat,changepoint,10.7477963,10.6668742,11.357227,5,,,
8192,4096,best,binsegRcpp.list,0.0592428,0.0549142,0.0702536,5,,,33526984.0894215
8192,4096,best,binsegRcpp.multiset,0.0130256,0.010732,0.0150423,5,,,33526984.0894215
