N.data,max.segs,case,package,seconds_median,seconds_min,seconds_max,seconds_timings,computed.ends,valid.ends,loss
4,2,flat,binsegRcpp.list,0.0013194,0.0012603,0.0015064,5,3|4,3|4,1.01927193663213
4,2,flat,binsegRcpp.multiset,0.0016849,0.0012777,0.0107967,5,3|4,3|4,1.01927193663213
4,2,flat,ruptures,0.0010498,0.0009768,0.001725,5,4,4,3.24100654951225
4,2,best,binsegRcpp.list,0.0011856,0.0011458,0.0012539,5,2|4,2|4,2
4,2,best,binsegRcpp.multiset,0.0012287,0.0011731,0.0015239,5,2|4,2|4,2
4,2,best,ruptures,0.0008603,0.0008562,0.0011573,5,4,4,4
4,2,worst,binsegRcpp.list,0.0013233,0.0012823,0.0015575,5,3|4,3|4,0.1875
4,2,worst,binsegRcpp.multiset,0.0012862,0.0012117,0.0013541,5,3|4,3|4,0.1875
4,2,worst,ruptures,0.0010724,0.0009991,0.0011504,5,4,4,0.5625
8,4,flat,binsegRcpp.list,0.0013529,0.0012722,0.0023907,5,3|4|7|8,3|4|7|8,2.32716937317863
8,4,flat,binsegRcpp.multiset,0.001519,0.0013252,0.0019726,5,3|4|7|8,3|4|7|8,2.32716937317863
8,4,flat,ruptures,0.0020066,0.0016782,0.002681,5,3|8,3|8,3.84383805620179
8,4,best,binsegRcpp.list,0.0014913,0.0012548,0.0015621,5,2|4|6|8,2|4|6|8,4
8,4,best,binsegRcpp.multiset,0.0015031,0.001314,0.001839,5,2|4|6|8,2|4|6|8,4
8,4,best,ruptures,0.0015246,0.0013689,0.001586,5,5|8,5|8,8
8,4,worst,binsegRcpp.list,0.0013086,0.0012209,0.0017589,5,5|6|7|8,5|6|7|8,0.08203125
8,4,worst,binsegRcpp.multiset,0.0013164,0.0012916,0.0022137,5,5|6|7|8,5|6|7|8,0.08203125
8,4,worst,ruptures,0.0030407,0.0016984,0.0033559,5,5|8,5|8,0.45703125
16,8,flat,binsegRcpp.list,0.0014462,0.0012844,0.0016005,5,3|4|6|12|13|14|15|16,3|4|6|12|13|14|15|16,4.4232514161155
16,8,flat,binsegRcpp.multiset,0.0014777,0.0012895,0.0016829,5,3|4|6|12|13|14|15|16,3|4|6|12|13|14|15|16,4.4232514161155
16,8,flat,ruptures,0.0046609,0.0043532,0.0050672,5,3|6|9|12|16,3|6|9|12|16,9.41902410804305
16,8,best,binsegRcpp.list,0.0013721,0.0012857,0.0024021,5,2|4|6|8|10|12|14|16,2|4|6|8|10|12|14|16,8
16,8,best,binsegRcpp.multiset,0.0015111,0.0012926,0.0025279,5,2|4|6|8|10|12|14|16,2|4|6|8|10|12|14|16,8
16,8,best,ruptures,0.0047831,0.0029675,0.0054793,5,5|9|13|16,5|9|13|16,16
16,8,worst,binsegRcpp.list,0.0014238,0.0013134,0.0019147,5,9|10|11|12|13|14|15|16,9|10|11|12|13|14|15|16,0.0070953369140625
16,8,worst,binsegRcpp.multiset,0.0013982,0.0012655,0.0016048,5,9|10|11|12|13|14|15|16,9|10|11|12|13|14|15|16,0.0070953369140625
16,8,worst,ruptures,0.0045144,0.0044521,0.0048226,5,4|7|10|13|16,4|7|10|13|16,0.428604125976563
32,16,flat,binsegRcpp.list,0.0016271,0.0014038,0.0020961,5,3|4|5|6|12|13|14|15|17|22|27|28|29|30|31|32,3|4|5|6|12|13|14|15|17|22|27|28|29|30|31|32,6.62833250027196
32,16,flat,binsegRcpp.multiset,0.0014479,0.0013809,0.0016869,5,3|4|5|6|12|13|14|15|17|22|27|28|29|30|31|32,3|4|5|6|12|13|14|15|17|22|27|28|29|30|31|32,6.62833250027196
