N.data,max.segs,case,package,seconds_median,seconds_min,seconds_max,seconds_timings
128,64,worst,rm unord map,0.00349096,0.00334832,0.01427248,5
256,128,flat,cv,0.00107232,0.00089572,0.00134832,5
256,128,flat,no var est,0.00346716,0.00300872,0.0037732,5
256,128,flat,rm unord map,0.003565,0.00319916,0.0046196,5
256,128,best,cv,0.00090416,0.00081368,0.000962,5
256,128,best,no var est,0.00309576,0.00301652,0.003217,5
256,128,best,rm unord map,0.00312492,0.00309296,0.0035454,5
256,128,worst,cv,0.00121984,0.00114052,0.00143412,5
256,128,worst,no var est,0.00430556,0.00416996,0.00439172,5
256,128,worst,rm unord map,0.00483444,0.00478928,0.0053748,5
512,256,flat,cv,0.0012608,0.00115888,0.00163232,5
512,256,flat,no var est,0.00369916,0.0035344,0.00403532,5
512,256,flat,rm unord map,0.00417032,0.00378216,0.0065528,5
512,256,best,cv,0.0010532,0.00102144,0.00110084,5
512,256,best,no var est,0.00340536,0.00331104,0.0037298,5
512,256,best,rm unord map,0.00344664,0.00341996,0.00360248,5
512,256,worst,cv,0.00256504,0.0024848,0.00258104,5
512,256,worst,no var est,0.00779692,0.0077578,0.00800132,5
512,256,worst,rm unord map,0.01039216,0.0101664,0.0114834,5
1024,512,flat,cv,0.00149464,0.00144804,0.00166508,5
1024,512,flat,no var est,0.00492292,0.00443432,0.00721336,5
1024,512,flat,rm unord map,0.00525556,0.00490368,0.0070764,5
1024,512,best,cv,0.00138716,0.00136492,0.0017002,5
1024,512,best,no var est,0.00415084,0.0040892,0.00430836,5
1024,512,best,rm unord map,0.0043934,0.00428808,0.00444448,5
1024,512,worst,cv,0.00765012,0.0076136,0.00818352,5
1024,512,worst,no var est,0.02188808,0.02165392,0.02324828,5
1024,512,worst,rm unord map,0.032279,0.0317144,0.03295784,5
2048,1024,flat,cv,0.00251504,0.00236992,0.00257088,5
2048,1024,flat,no var est,0.00699908,0.0068062,0.00745892,5
2048,1024,flat,rm unord map,0.00848432,0.00827832,0.00865704,5
2048,1024,best,cv,0.00206492,0.00194932,0.00215168,5
2048,1024,best,no var est,0.00542804,0.00533728,0.0055622,5
2048,1024,best,rm unord map,0.00597432,0.00574408,0.00611964,5
2048,1024,worst,cv,0.02826444,0.02788688,0.02886688,5
2048,1024,worst,no var est,0.07848944,0.07778388,0.07888916,5
2048,1024,worst,rm unord map,0.11887628,0.11830528,0.1214458,5
4096,2048,flat,cv,0.00452424,0.00430564,0.00462016,5
4096,2048,flat,no var est,0.01134532,0.01099128,0.01193948,5
4096,2048,flat,rm unord map,0.01395492,0.01354448,0.0147846,5
4096,2048,best,cv,0.0037022,0.00349088,0.00392128,5
4096,2048,best,no var est,0.00821484,0.00808448,0.00839268,5
4096,2048,best,rm unord map,0.00908596,0.00896,0.00914792,5
4096,2048,worst,cv,0.1095112,0.109152,0.11274168,5
4096,2048,worst,no var est,0.30243444,0.30032316,0.30701504,5
8192,4096,flat,cv,0.00957892,0.00937888,0.01016492,5
8192,4096,flat,no var est,0.02276748,0.02217188,0.02399928,5
8192,4096,flat,rm unord map,0.03105856,0.02976184,0.03166916,5
8192,4096,best,cv,0.00658856,0.00632972,0.00752816,5
8192,4096,best,no var est,0.0135204,0.01341016,0.0139192,5
8192,4096,best,rm unord map,0.01626644,0.01561668,0.01705412,5
16384,8192,flat,cv,0.02859444,0.02749332,0.03054992,5
16384,8192,flat,no var est,0.07144256,0.06816792,0.07317336,5
16384,8192,flat,rm unord map,0.10046032,0.09671716,0.10155324,5
16384,8192,best,cv,0.01312472,0.01244644,0.01324916,5
16384,8192,best,no var est,0.02527416,0.02514964,0.03244564,5
16384,8192,best,rm unord map,0.02990864,0.02961016,0.0335526,5
32768,16384,flat,cv,0.04165356,0.04115996,0.04418304,5
32768,16384,flat,no var est,0.09943196,0.09860452,0.11359456,5
32768,16384,best,cv,0.0269726,0.02613404,0.02848328,5
32768,16384,best,no var est,0.0519222,0.05075252,0.05514296,5
32768,16384,best,rm unord map,0.06560088,0.06167784,0.0686688,5
65536,32768,flat,cv,0.10841804,0.1002144,0.10974564,5
65536,32768,flat,no var est,0.24720348,0.24344232,0.25311084,5
65536,32768,best,cv,0.05629268,0.055533,0.06163048,5
65536,32768,best,no var est,0.10991256,0.1058036,0.11879352,5
65536,32768,best,rm unord map,0.12989564,0.1283558,0.13973028,5
131072,65536,best,cv,0.12149936,0.1173052,0.1237486,5
