N.data,n.segments,case,sum.splits,max.depth,max.segments
10,10,best.heuristic,25,4,10
10,10,best,25,4,10
10,10,worst,45,9,10
11,10,best.heuristic,29,4,10
11,10,best,29,4,10
11,10,worst,55,9,10
11,11,best.heuristic,29,4,N.data
11,11,best,29,4,N.data
11,11,worst,55,10,N.data
12,10,best.heuristic,32,4,10
12,10,best,32,4,10
12,10,worst,65,9,10
12,12,best.heuristic,33,4,N.data
12,12,best,33,4,N.data
12,12,worst,66,11,N.data
13,10,best.heuristic,35,4,10
13,10,best,35,4,10
13,10,worst,75,9,10
13,13,best.heuristic,37,4,N.data
13,13,best,37,4,N.data
13,13,worst,78,12,N.data
14,10,best.heuristic,39,4,10
14,10,best,38,4,10
14,10,worst,85,9,10
14,14,best.heuristic,41,4,N.data
14,14,best,41,4,N.data
14,14,worst,91,13,N.data
15,10,best.heuristic,43,4,10
15,10,best,40,5,10
15,10,worst,95,9,10
15,15,best.heuristic,45,4,N.data
15,15,best,45,4,N.data
15,15,worst,105,14,N.data
16,10,best.heuristic,45,4,10
16,10,best,42,5,10
16,10,worst,105,9,10
16,16,best.heuristic,49,4,N.data
16,16,best,49,4,N.data
16,16,worst,120,15,N.data
17,10,best.heuristic,48,4,10
17,10,best,44,5,10
17,10,worst,115,9,10
17,17,best.heuristic,54,5,N.data
17,17,best,54,5,N.data
17,17,worst,136,16,N.data
18,10,best.heuristic,46,5,10
18,10,best,46,5,10
18,10,worst,125,9,10
18,18,best.heuristic,59,5,N.data
18,18,best,59,5,N.data
18,18,worst,153,17,N.data
19,10,best.heuristic,48,5,10
19,10,best,48,5,10
19,10,worst,135,9,10
19,19,best.heuristic,64,5,N.data
19,19,best,64,5,N.data
19,19,worst,171,18,N.data
20,10,best.heuristic,53,5,10
20,10,best,50,5,10
20,10,worst,145,9,10
20,20,best.heuristic,69,5,N.data
20,20,best,69,5,N.data
20,20,worst,190,19,N.data
21,10,best.heuristic,55,5,10
21,10,best,52,5,10
21,10,worst,155,9,10
21,21,best.heuristic,74,5,N.data
21,21,best,74,5,N.data
21,21,worst,210,20,N.data
22,10,best.heuristic,59,5,10
22,10,best,54,5,10
22,10,worst,165,9,10
22,22,best.heuristic,79,5,N.data
22,22,best,79,5,N.data
22,22,worst,231,21,N.data
23,10,best.heuristic,61,5,10
23,10,best,56,5,10
23,10,worst,175,9,10
23,23,best.heuristic,84,5,N.data
23,23,best,84,5,N.data
23,23,worst,253,22,N.data
24,10,best.heuristic,66,5,10
24,10,best,58,5,10
24,10,worst,185,9,10
24,24,best.heuristic,89,5,N.data
24,24,best,89,5,N.data
24,24,worst,276,23,N.data
25,10,best.heuristic,68,5,10
25,10,best,60,5,10
25,10,worst,195,9,10
25,25,best.heuristic,94,5,N.data
25,25,best,94,5,N.data
25,25,worst,300,24,N.data
26,10,best.heuristic,72,5,10
26,10,best,62,5,10
26,10,worst,205,9,10
26,26,best.heuristic,99,5,N.data
26,26,best,99,5,N.data
26,26,worst,325,25,N.data
27,10,best.heuristic,74,5,10
27,10,best,64,5,10
27,10,worst,215,9,10
27,27,best.heuristic,104,5,N.data
27,27,best,104,5,N.data
27,27,worst,351,26,N.data
28,10,best.heuristic,78,5,10
28,10,best,66,5,10
28,10,worst,225,9,10
28,28,best.heuristic,109,5,N.data
28,28,best,109,5,N.data
28,28,worst,378,27,N.data
29,10,best.heuristic,80,5,10
29,10,best,68,5,10
29,10,worst,235,9,10
29,29,best.heuristic,114,5,N.data
29,29,best,114,5,N.data
29,29,worst,406,28,N.data
30,10,best.heuristic,84,5,10
30,10,best,70,5,10
30,10,worst,245,9,10
30,30,best.heuristic,119,5,N.data
30,30,best,119,5,N.data
30,30,worst,435,29,N.data
31,10,best.heuristic,86,5,10
31,10,best,72,5,10
31,10,worst,255,9,10
31,31,best.heuristic,124,5,N.data
31,31,best,124,5,N.data
31,31,worst,465,30,N.data
32,10,best.heuristic,85,5,10
32,10,best,74,5,10
32,10,worst,265,9,10
32,32,best.heuristic,129,5,N.data
32,32,best,129,5,N.data
32,32,worst,496,31,N.data
33,10,best.heuristic,87,5,10
33,10,best,76,5,10
33,10,worst,275,9,10
33,33,best.heuristic,135,6,N.data
33,33,best,135,6,N.data
33,33,worst,528,32,N.data
