N.data,n.segments,case,sum.splits,max.depth,max.segments
34,10,best.heuristic,90,5,10
34,10,best,78,5,10
34,10,worst,285,9,10
34,34,best.heuristic,141,6,N.data
34,34,best,141,6,N.data
34,34,worst,561,33,N.data
35,10,best.heuristic,92,5,10
35,10,best,80,5,10
35,10,worst,295,9,10
35,35,best.heuristic,147,6,N.data
35,35,best,147,6,N.data
35,35,worst,595,34,N.data
36,10,best.heuristic,98,5,10
36,10,best,82,5,10
36,10,worst,305,9,10
36,36,best.heuristic,153,6,N.data
36,36,best,153,6,N.data
36,36,worst,630,35,N.data
37,10,best.heuristic,100,5,10
37,10,best,84,5,10
37,10,worst,315,9,10
37,37,best.heuristic,159,6,N.data
37,37,best,159,6,N.data
37,37,worst,666,36,N.data
38,10,best.heuristic,103,5,10
38,10,best,86,5,10
38,10,worst,325,9,10
38,38,best.heuristic,165,6,N.data
38,38,best,165,6,N.data
38,38,worst,703,37,N.data
39,10,best.heuristic,105,5,10
39,10,best,88,5,10
39,10,worst,335,9,10
39,39,best.heuristic,171,6,N.data
39,39,best,171,6,N.data
39,39,worst,741,38,N.data
40,10,best.heuristic,110,6,10
40,10,best,90,5,10
40,10,worst,345,9,10
40,40,best.heuristic,177,6,N.data
40,40,best,177,6,N.data
40,40,worst,780,39,N.data
41,10,best.heuristic,112,6,10
41,10,best,92,5,10
41,10,worst,355,9,10
41,41,best.heuristic,183,6,N.data
41,41,best,183,6,N.data
41,41,worst,820,40,N.data
42,10,best.heuristic,115,6,10
42,10,best,94,5,10
42,10,worst,365,9,10
42,42,best.heuristic,189,6,N.data
42,42,best,189,6,N.data
42,42,worst,861,41,N.data
43,10,best.heuristic,117,6,10
43,10,best,96,5,10
43,10,worst,375,9,10
43,43,best.heuristic,195,6,N.data
43,43,best,195,6,N.data
43,43,worst,903,42,N.data
44,10,best.heuristic,123,6,10
44,10,best,98,5,10
44,10,worst,385,9,10
44,44,best.heuristic,201,6,N.data
44,44,best,201,6,N.data
44,44,worst,946,43,N.data
45,10,best.heuristic,125,6,10
45,10,best,100,5,10
45,10,worst,395,9,10
45,45,best.heuristic,207,6,N.data
45,45,best,207,6,N.data
45,45,worst,990,44,N.data
46,10,best.heuristic,128,6,10
46,10,best,102,5,10
46,10,worst,405,9,10
46,46,best.heuristic,213,6,N.data
46,46,best,213,6,N.data
46,46,worst,1035,45,N.data
47,10,best.heuristic,130,6,10
47,10,best,104,5,10
47,10,worst,415,9,10
47,47,best.heuristic,219,6,N.data
47,47,best,219,6,N.data
47,47,worst,1081,46,N.data
48,10,best.heuristic,135,6,10
48,10,best,106,5,10
48,10,worst,425,9,10
48,48,best.heuristic,225,6,N.data
48,48,best,225,6,N.data
48,48,worst,1128,47,N.data
49,10,best.heuristic,137,6,10
49,10,best,108,5,10
49,10,worst,435,9,10
49,49,best.heuristic,231,6,N.data
49,49,best,231,6,N.data
49,49,worst,1176,48,N.data
50,10,best.heuristic,140,6,10
50,10,best,110,5,10
50,10,worst,445,9,10
50,50,best.heuristic,237,6,N.data
50,50,best,237,6,N.data
50,50,worst,1225,49,N.data
51,10,best.heuristic,142,6,10
51,10,best,112,5,10
51,10,worst,455,9,10
51,51,best.heuristic,243,6,N.data
51,51,best,243,6,N.data
51,51,worst,1275,50,N.data
52,10,best.heuristic,147,6,10
52,10,best,114,5,10
52,10,worst,465,9,10
52,52,best.heuristic,249,6,N.data
52,52,best,249,6,N.data
52,52,worst,1326,51,N.data
53,10,best.heuristic,149,6,10
53,10,best,116,5,10
53,10,worst,475,9,10
53,53,best.heuristic,255,6,N.data
53,53,best,255,6,N.data
53,53,worst,1378,52,N.data
54,10,best.heuristic,152,6,10
54,10,best,118,5,10
54,10,worst,485,9,10
54,54,best.heuristic,261,6,N.data
54,54,best,261,6,N.data
54,54,worst,1431,53,N.data
55,10,best.heuristic,154,6,10
55,10,best,120,5,10
55,10,worst,495,9,10
55,55,best.heuristic,267,6,N.data
55,55,best,267,6,N.data
55,55,worst,1485,54,N.data
56,10,best.heuristic,155,6,10
56,10,best,122,5,10
56,10,worst,505,9,10
56,56,best.heuristic,273,6,N.data
56,56,best,273,6,N.data
56,56,worst,1540,55,N.data
57,10,best.heuristic,157,6,10
57,10,best,124,5,10
57,10,worst,515,9,10
57,57,best.heuristic,279,6,N.data
57,57,best,279,6,N.data
57,57,worst,1596,56,N.data
58,10,best.heuristic,160,6,10
58,10,best,126,5,10
58,10,worst,525,9,10
58,58,best.heuristic,285,6,N.data
58,58,best,285,6,N.data
58,58,worst,1653,57,N.data
59,10,best.heuristic,162,6,10
59,10,best,128,5,10
59,10,worst,535,9,10
59,59,best.heuristic,291,6,N.data
59,59,best,291,6,N.data
59,59,worst,1711,58,N.data
60,10,best.heuristic,166,6,10
60,10,best,130,5,10
60,10,worst,545,9,10
60,60,best.heuristic,297,6,N.data
60,60,best,297,6,N.data
60,60,worst,1770,59,N.data
61,10,best.heuristic,168,6,10
61,10,best,132,5,10
61,10,worst,555,9,10
61,61,best.heuristic,303,6,N.data
61,61,best,303,6,N.data
61,61,worst,1830,60,N.data
62,10,best.heuristic,171,6,10
62,10,best,134,5,10
62,10,worst,565,9,10
62,62,best.heuristic,309,6,N.data
62,62,best,309,6,N.data
62,62,worst,1891,61,N.data
63,10,best.heuristic,173,6,10
63,10,best,136,5,10
63,10,worst,575,9,10
63,63,best.heuristic,315,6,N.data
63,63,best,315,6,N.data
63,63,worst,1953,62,N.data
64,10,best.heuristic,179,6,10
64,10,best,138,5,10
64,10,worst,585,9,10
64,64,best.heuristic,321,6,N.data
64,64,best,321,6,N.data
64,64,worst,2016,63,N.data
65,10,best.heuristic,181,6,10
65,10,best,140,5,10
65,10,worst,595,9,10
65,65,best.heuristic,328,7,N.data
65,65,best,328,7,N.data
65,65,worst,2080,64,N.data
66,10,best.heuristic,184,6,10
66,10,best,142,5,10
66,10,worst,605,9,10
66,66,best.heuristic,335,7,N.data
66,66,best,335,7,N.data
66,66,worst,2145,65,N.data
67,10,best.heuristic,186,6,10
67,10,best,144,5,10
67,10,worst,615,9,10
67,67,best.heuristic,342,7,N.data
67,67,best,342,7,N.data
67,67,worst,2211,66,N.data
68,10,best.heuristic,190,6,10
68,10,best,146,5,10
68,10,worst,625,9,10
68,68,best.heuristic,349,7,N.data
68,68,best,349,7,N.data
68,68,worst,2278,67,N.data
69,10,best.heuristic,192,6,10
69,10,best,148,5,10
69,10,worst,635,9,10
69,69,best.heuristic,356,7,N.data
69,69,best,356,7,N.data
69,69,worst,2346,68,N.data
70,10,best.heuristic,195,6,10
70,10,best,150,5,10
70,10,worst,645,9,10
70,70,best.heuristic,363,7,N.data
70,70,best,363,7,N.data
70,70,worst,2415,69,N.data
71,10,best.heuristic,197,6,10
71,10,best,152,5,10
71,10,worst,655,9,10
71,71,best.heuristic,370,7,N.data
71,71,best,370,7,N.data
71,71,worst,2485,70,N.data
72,10,best.heuristic,203,6,10
72,10,best,154,5,10
72,10,worst,665,9,10
72,72,best.heuristic,377,7,N.data
72,72,best,377,7,N.data
72,72,worst,2556,71,N.data
73,10,best.heuristic,205,6,10
73,10,best,156,5,10
73,10,worst,675,9,10
73,73,best.heuristic,384,7,N.data
73,73,best,384,7,N.data
73,73,worst,2628,72,N.data
74,10,best.heuristic,208,6,10
74,10,best,158,5,10
74,10,worst,685,9,10
74,74,best.heuristic,391,7,N.data
74,74,best,391,7,N.data
74,74,worst,2701,73,N.data
75,10,best.heuristic,210,6,10
75,10,best,160,5,10
75,10,worst,695,9,10
75,75,best.heuristic,398,7,N.data
75,75,best,398,7,N.data
75,75,worst,2775,74,N.data
76,10,best.heuristic,214,6,10
76,10,best,162,5,10
76,10,worst,705,9,10
76,76,best.heuristic,405,7,N.data
76,76,best,405,7,N.data
76,76,worst,2850,75,N.data
77,10,best.heuristic,216,6,10
77,10,best,164,5,10
77,10,worst,715,9,10
77,77,best.heuristic,412,7,N.data
77,77,best,412,7,N.data
77,77,worst,2926,76,N.data
78,10,best.heuristic,219,6,10
78,10,best,166,5,10
78,10,worst,725,9,10
78,78,best.heuristic,419,7,N.data
78,78,best,419,7,N.data
78,78,worst,3003,77,N.data
79,10,best.heuristic,221,6,10
79,10,best,168,5,10
79,10,worst,735,9,10
79,79,best.heuristic,426,7,N.data
79,79,best,426,7,N.data
79,79,worst,3081,78,N.data
80,10,best.heuristic,228,7,10
80,10,best,170,5,10
80,10,worst,745,9,10
80,80,best.heuristic,433,7,N.data
80,80,best,433,7,N.data
80,80,worst,3160,79,N.data
81,10,best.heuristic,230,7,10
81,10,best,172,5,10
81,10,worst,755,9,10
81,81,best.heuristic,440,7,N.data
81,81,best,440,7,N.data
81,81,worst,3240,80,N.data
82,10,best.heuristic,233,7,10
82,10,best,174,5,10
82,10,worst,765,9,10
82,82,best.heuristic,447,7,N.data
82,82,best,447,7,N.data
82,82,worst,3321,81,N.data
83,10,best.heuristic,235,7,10
83,10,best,176,5,10
83,10,worst,775,9,10
83,83,best.heuristic,454,7,N.data
83,83,best,454,7,N.data
83,83,worst,3403,82,N.data
84,10,best.heuristic,239,7,10
84,10,best,178,5,10
84,10,worst,785,9,10
84,84,best.heuristic,461,7,N.data
84,84,best,461,7,N.data
84,84,worst,3486,83,N.data
85,10,best.heuristic,241,7,10
85,10,best,180,5,10
85,10,worst,795,9,10
85,85,best.heuristic,468,7,N.data
85,85,best,468,7,N.data
85,85,worst,3570,84,N.data
86,10,best.heuristic,244,7,10
86,10,best,182,5,10
86,10,worst,805,9,10
86,86,best.heuristic,475,7,N.data
86,86,best,475,7,N.data
86,86,worst,3655,85,N.data
87,10,best.heuristic,246,7,10
87,10,best,184,5,10
87,10,worst,815,9,10
87,87,best.heuristic,482,7,N.data
87,87,best,482,7,N.data
87,87,worst,3741,86,N.data
88,10,best.heuristic,252,7,10
88,10,best,186,5,10
88,10,worst,825,9,10
88,88,best.heuristic,489,7,N.data
88,88,best,489,7,N.data
88,88,worst,3828,87,N.data
89,10,best.heuristic,254,7,10
89,10,best,188,5,10
89,10,worst,835,9,10
89,89,best.heuristic,496,7,N.data
89,89,best,496,7,N.data
89,89,worst,3916,88,N.data
90,10,best.heuristic,257,7,10
90,10,best,190,5,10
90,10,worst,845,9,10
90,90,best.heuristic,503,7,N.data
90,90,best,503,7,N.data
90,90,worst,4005,89,N.data
91,10,best.heuristic,259,7,10
91,10,best,192,5,10
91,10,worst,855,9,10
91,91,best.heuristic,510,7,N.data
91,91,best,510,7,N.data
91,91,worst,4095,90,N.data
92,10,best.heuristic,263,7,10
92,10,best,194,5,10
92,10,worst,865,9,10
92,92,best.heuristic,517,7,N.data
92,92,best,517,7,N.data
92,92,worst,4186,91,N.data
93,10,best.heuristic,265,7,10
93,10,best,196,5,10
93,10,worst,875,9,10
93,93,best.heuristic,524,7,N.data
93,93,best,524,7,N.data
93,93,worst,4278,92,N.data
94,10,best.heuristic,268,7,10
94,10,best,198,5,10
94,10,worst,885,9,10
94,94,best.heuristic,531,7,N.data
94,94,best,531,7,N.data
94,94,worst,4371,93,N.data
95,10,best.heuristic,270,7,10
95,10,best,200,5,10
95,10,worst,895,9,10
95,95,best.heuristic,538,7,N.data
95,95,best,538,7,N.data
95,95,worst,4465,94,N.data
96,10,best.heuristic,273,7,10
96,10,best,202,5,10
96,10,worst,905,9,10
96,96,best.heuristic,545,7,N.data
96,96,best,545,7,N.data
96,96,worst,4560,95,N.data
97,10,best.heuristic,275,7,10
97,10,best,204,5,10
97,10,worst,915,9,10
97,97,best.heuristic,552,7,N.data
97,97,best,552,7,N.data
97,97,worst,4656,96,N.data
98,10,best.heuristic,278,7,10
98,10,best,206,5,10
98,10,worst,925,9,10
98,98,best.heuristic,559,7,N.data
98,98,best,559,7,N.data
98,98,worst,4753,97,N.data
99,10,best.heuristic,280,7,10
99,10,best,208,5,10
99,10,worst,935,9,10
99,99,best.heuristic,566,7,N.data
99,99,best,566,7,N.data
99,99,worst,4851,98,N.data
100,10,best.heuristic,284,7,10
100,10,best,210,5,10
100,10,worst,945,9,10
100,100,best.heuristic,573,7,N.data
100,100,best,573,7,N.data
100,100,worst,4950,99,N.data
316,10,best.heuristic,925,8,10
316,10,worst,3105,315,10
316,316,best.heuristic,2333,9,N.data
316,316,worst,49770,315,N.data
1000,10,best.heuristic,2974,9,10
1000,10,worst,9945,999,10
1000,1000,best.heuristic,8977,10,N.data
1000,1000,worst,499500,999,N.data
5937,10,best.heuristic,17766,9,10
5937,10,worst,59315,5936,10
5937,5937,best.heuristic,68990,13,N.data
5937,5937,worst,17621016,5936,N.data
101,10,best.heuristic,286,7,10
101,10,worst,955,100,10
101,101,best.heuristic,580,7,N.data
101,101,worst,5050,100,N.data
102,10,best.heuristic,289,7,10
102,10,worst,965,101,10
102,102,best.heuristic,587,7,N.data
102,102,worst,5151,101,N.data
103,10,best.heuristic,291,7,10
103,10,worst,975,102,10
103,103,best.heuristic,594,7,N.data
103,103,worst,5253,102,N.data
104,10,best.heuristic,296,7,10
104,10,worst,985,103,10
104,104,best.heuristic,601,7,N.data
104,104,worst,5356,103,N.data
105,10,best.heuristic,298,7,10
105,10,worst,995,104,10
105,105,best.heuristic,608,7,N.data
105,105,worst,5460,104,N.data
106,10,best.heuristic,301,7,10
106,10,worst,1005,105,10
106,106,best.heuristic,615,7,N.data
106,106,worst,5565,105,N.data
107,10,best.heuristic,303,7,10
107,10,worst,1015,106,10
107,107,best.heuristic,622,7,N.data
107,107,worst,5671,106,N.data
108,10,best.heuristic,307,7,10
108,10,worst,1025,107,10
108,108,best.heuristic,629,7,N.data
108,108,worst,5778,107,N.data
109,10,best.heuristic,309,7,10
109,10,worst,1035,108,10
109,109,best.heuristic,636,7,N.data
109,109,worst,5886,108,N.data
110,10,best.heuristic,312,7,10
110,10,worst,1045,109,10
110,110,best.heuristic,643,7,N.data
110,110,worst,5995,109,N.data
111,10,best.heuristic,314,7,10
111,10,worst,1055,110,10
111,111,best.heuristic,650,7,N.data
111,111,worst,6105,110,N.data
112,10,best.heuristic,321,7,10
112,10,worst,1065,111,10
112,112,best.heuristic,657,7,N.data
112,112,worst,6216,111,N.data
113,10,best.heuristic,323,7,10
113,10,worst,1075,112,10
113,113,best.heuristic,664,7,N.data
113,113,worst,6328,112,N.data
114,10,best.heuristic,326,7,10
114,10,worst,1085,113,10
114,114,best.heuristic,671,7,N.data
114,114,worst,6441,113,N.data
115,10,best.heuristic,328,7,10
115,10,worst,1095,114,10
115,115,best.heuristic,678,7,N.data
115,115,worst,6555,114,N.data
116,10,best.heuristic,332,7,10
116,10,worst,1105,115,10
116,116,best.heuristic,685,7,N.data
116,116,worst,6670,115,N.data
117,10,best.heuristic,334,7,10
117,10,worst,1115,116,10
117,117,best.heuristic,692,7,N.data
117,117,worst,6786,116,N.data
118,10,best.heuristic,337,7,10
118,10,worst,1125,117,10
118,118,best.heuristic,699,7,N.data
118,118,worst,6903,117,N.data
119,10,best.heuristic,339,7,10
119,10,worst,1135,118,10
119,119,best.heuristic,706,7,N.data
119,119,worst,7021,118,N.data
120,10,best.heuristic,344,7,10
120,10,worst,1145,119,10
120,120,best.heuristic,713,7,N.data
120,120,worst,7140,119,N.data
121,10,best.heuristic,346,7,10
121,10,worst,1155,120,10
121,121,best.heuristic,720,7,N.data
121,121,worst,7260,120,N.data
122,10,best.heuristic,349,7,10
122,10,worst,1165,121,10
122,122,best.heuristic,727,7,N.data
122,122,worst,7381,121,N.data
123,10,best.heuristic,351,7,10
123,10,worst,1175,122,10
123,123,best.heuristic,734,7,N.data
123,123,worst,7503,122,N.data
124,10,best.heuristic,355,7,10
124,10,worst,1185,123,10
124,124,best.heuristic,741,7,N.data
124,124,worst,7626,123,N.data
125,10,best.heuristic,357,7,10
125,10,worst,1195,124,10
125,125,best.heuristic,748,7,N.data
125,125,worst,7750,124,N.data
126,10,best.heuristic,360,7,10
126,10,worst,1205,125,10
126,126,best.heuristic,755,7,N.data
126,126,worst,7875,125,N.data
127,10,best.heuristic,362,7,10
127,10,worst,1215,126,10
127,127,best.heuristic,762,7,N.data
127,127,worst,8001,126,N.data
128,10,best.heuristic,369,7,10
128,10,worst,1225,127,10
128,128,best.heuristic,769,7,N.data
128,128,worst,8128,127,N.data
129,10,best.heuristic,371,7,10
129,10,worst,1235,128,10
129,129,best.heuristic,777,8,N.data
129,129,worst,8256,128,N.data
130,10,best.heuristic,374,7,10
130,10,worst,1245,129,10
130,130,best.heuristic,785,8,N.data
130,130,worst,8385,129,N.data
131,10,best.heuristic,376,7,10
131,10,worst,1255,130,10
131,131,best.heuristic,793,8,N.data
131,131,worst,8515,130,N.data
132,10,best.heuristic,380,7,10
132,10,worst,1265,131,10
132,132,best.heuristic,801,8,N.data
132,132,worst,8646,131,N.data
133,10,best.heuristic,382,7,10
133,10,worst,1275,132,10
133,133,best.heuristic,809,8,N.data
133,133,worst,8778,132,N.data
134,10,best.heuristic,385,7,10
134,10,worst,1285,133,10
134,134,best.heuristic,817,8,N.data
134,134,worst,8911,133,N.data
135,10,best.heuristic,387,7,10
135,10,worst,1295,134,10
135,135,best.heuristic,825,8,N.data
135,135,worst,9045,134,N.data
136,10,best.heuristic,392,7,10
136,10,worst,1305,135,10
136,136,best.heuristic,833,8,N.data
136,136,worst,9180,135,N.data
137,10,best.heuristic,394,7,10
137,10,worst,1315,136,10
137,137,best.heuristic,841,8,N.data
137,137,worst,9316,136,N.data
138,10,best.heuristic,397,7,10
138,10,worst,1325,137,10
138,138,best.heuristic,849,8,N.data
138,138,worst,9453,137,N.data
139,10,best.heuristic,399,7,10
139,10,worst,1335,138,10
139,139,best.heuristic,857,8,N.data
139,139,worst,9591,138,N.data
140,10,best.heuristic,403,7,10
140,10,worst,1345,139,10
140,140,best.heuristic,865,8,N.data
140,140,worst,9730,139,N.data
141,10,best.heuristic,405,7,10
141,10,worst,1355,140,10
141,141,best.heuristic,873,8,N.data
141,141,worst,9870,140,N.data
142,10,best.heuristic,408,7,10
142,10,worst,1365,141,10
142,142,best.heuristic,881,8,N.data
142,142,worst,10011,141,N.data
143,10,best.heuristic,410,7,10
143,10,worst,1375,142,10
143,143,best.heuristic,889,8,N.data
143,143,worst,10153,142,N.data
144,10,best.heuristic,417,7,10
144,10,worst,1385,143,10
144,144,best.heuristic,897,8,N.data
144,144,worst,10296,143,N.data
145,10,best.heuristic,419,7,10
145,10,worst,1395,144,10
145,145,best.heuristic,905,8,N.data
145,145,worst,10440,144,N.data
146,10,best.heuristic,422,7,10
146,10,worst,1405,145,10
146,146,best.heuristic,913,8,N.data
146,146,worst,10585,145,N.data
147,10,best.heuristic,424,7,10
147,10,worst,1415,146,10
147,147,best.heuristic,921,8,N.data
147,147,worst,10731,146,N.data
148,10,best.heuristic,428,7,10
148,10,worst,1425,147,10
148,148,best.heuristic,929,8,N.data
148,148,worst,10878,147,N.data
149,10,best.heuristic,430,7,10
149,10,worst,1435,148,10
149,149,best.heuristic,937,8,N.data
149,149,worst,11026,148,N.data
150,10,best.heuristic,433,7,10
150,10,worst,1445,149,10
150,150,best.heuristic,945,8,N.data
150,150,worst,11175,149,N.data
151,10,best.heuristic,435,7,10
151,10,worst,1455,150,10
151,151,best.heuristic,953,8,N.data
151,151,worst,11325,150,N.data
152,10,best.heuristic,440,7,10
152,10,worst,1465,151,10
152,152,best.heuristic,961,8,N.data
152,152,worst,11476,151,N.data
153,10,best.heuristic,442,7,10
153,10,worst,1475,152,10
153,153,best.heuristic,969,8,N.data
153,153,worst,11628,152,N.data
154,10,best.heuristic,445,7,10
154,10,worst,1485,153,10
154,154,best.heuristic,977,8,N.data
154,154,worst,11781,153,N.data
155,10,best.heuristic,447,7,10
155,10,worst,1495,154,10
155,155,best.heuristic,985,8,N.data
155,155,worst,11935,154,N.data
156,10,best.heuristic,451,7,10
156,10,worst,1505,155,10
156,156,best.heuristic,993,8,N.data
156,156,worst,12090,155,N.data
157,10,best.heuristic,453,7,10
157,10,worst,1515,156,10
157,157,best.heuristic,1001,8,N.data
157,157,worst,12246,156,N.data
158,10,best.heuristic,456,7,10
158,10,worst,1525,157,10
158,158,best.heuristic,1009,8,N.data
158,158,worst,12403,157,N.data
159,10,best.heuristic,458,7,10
159,10,worst,1535,158,10
159,159,best.heuristic,1017,8,N.data
159,159,worst,12561,158,N.data
160,10,best.heuristic,463,8,10
160,10,worst,1545,159,10
160,160,best.heuristic,1025,8,N.data
160,160,worst,12720,159,N.data
161,10,best.heuristic,465,8,10
161,10,worst,1555,160,10
161,161,best.heuristic,1033,8,N.data
161,161,worst,12880,160,N.data
162,10,best.heuristic,468,8,10
162,10,worst,1565,161,10
162,162,best.heuristic,1041,8,N.data
162,162,worst,13041,161,N.data
163,10,best.heuristic,470,8,10
163,10,worst,1575,162,10
163,163,best.heuristic,1049,8,N.data
163,163,worst,13203,162,N.data
164,10,best.heuristic,474,8,10
164,10,worst,1585,163,10
164,164,best.heuristic,1057,8,N.data
164,164,worst,13366,163,N.data
165,10,best.heuristic,476,8,10
165,10,worst,1595,164,10
165,165,best.heuristic,1065,8,N.data
165,165,worst,13530,164,N.data
166,10,best.heuristic,479,8,10
166,10,worst,1605,165,10
166,166,best.heuristic,1073,8,N.data
166,166,worst,13695,165,N.data
167,10,best.heuristic,481,8,10
167,10,worst,1615,166,10
167,167,best.heuristic,1081,8,N.data
167,167,worst,13861,166,N.data
168,10,best.heuristic,486,8,10
168,10,worst,1625,167,10
168,168,best.heuristic,1089,8,N.data
168,168,worst,14028,167,N.data
169,10,best.heuristic,488,8,10
169,10,worst,1635,168,10
169,169,best.heuristic,1097,8,N.data
169,169,worst,14196,168,N.data
170,10,best.heuristic,491,8,10
170,10,worst,1645,169,10
170,170,best.heuristic,1105,8,N.data
170,170,worst,14365,169,N.data
171,10,best.heuristic,493,8,10
171,10,worst,1655,170,10
171,171,best.heuristic,1113,8,N.data
171,171,worst,14535,170,N.data
172,10,best.heuristic,497,8,10
172,10,worst,1665,171,10
172,172,best.heuristic,1121,8,N.data
172,172,worst,14706,171,N.data
173,10,best.heuristic,499,8,10
173,10,worst,1675,172,10
173,173,best.heuristic,1129,8,N.data
173,173,worst,14878,172,N.data
174,10,best.heuristic,502,8,10
174,10,worst,1685,173,10
174,174,best.heuristic,1137,8,N.data
174,174,worst,15051,173,N.data
175,10,best.heuristic,504,8,10
175,10,worst,1695,174,10
175,175,best.heuristic,1145,8,N.data
175,175,worst,15225,174,N.data
176,10,best.heuristic,510,8,10
176,10,worst,1705,175,10
176,176,best.heuristic,1153,8,N.data
176,176,worst,15400,175,N.data
177,10,best.heuristic,512,8,10
177,10,worst,1715,176,10
177,177,best.heuristic,1161,8,N.data
177,177,worst,15576,176,N.data
178,10,best.heuristic,515,8,10
178,10,worst,1725,177,10
178,178,best.heuristic,1169,8,N.data
178,178,worst,15753,177,N.data
179,10,best.heuristic,517,8,10
179,10,worst,1735,178,10
179,179,best.heuristic,1177,8,N.data
179,179,worst,15931,178,N.data
180,10,best.heuristic,521,8,10
180,10,worst,1745,179,10
180,180,best.heuristic,1185,8,N.data
180,180,worst,16110,179,N.data
181,10,best.heuristic,523,8,10
181,10,worst,1755,180,10
181,181,best.heuristic,1193,8,N.data
181,181,worst,16290,180,N.data
182,10,best.heuristic,526,8,10
182,10,worst,1765,181,10
182,182,best.heuristic,1201,8,N.data
182,182,worst,16471,181,N.data
183,10,best.heuristic,528,8,10
183,10,worst,1775,182,10
183,183,best.heuristic,1209,8,N.data
183,183,worst,16653,182,N.data
184,10,best.heuristic,533,8,10
