profile.id,chromosome,N.data,max.segments,sum.splits,max.depth
100,X,121,N.data,1156,16
100,Y,21,10,78,6
100,Y,21,N.data,85,7
101,1,502,10,2162,7
101,1,502,N.data,6099,26
101,10,160,10,667,7
101,10,160,N.data,1598,20
101,11,168,10,813,5
101,11,168,N.data,1647,18
101,12,217,10,1228,5
101,12,217,N.data,2782,27
101,13,106,10,606,7
101,13,106,N.data,957,15
101,14,105,10,474,5
101,14,105,N.data,882,15
101,15,93,10,361,5
101,15,93,N.data,865,21
101,16,91,10,604,7
101,16,91,N.data,1062,22
101,17,181,10,1007,6
101,17,181,N.data,1926,21
101,18,88,10,351,6
101,18,88,N.data,627,13
101,19,60,10,255,5
101,19,60,N.data,430,15
101,2,295,10,916,5
101,2,295,N.data,3420,22
101,20,97,10,533,6
101,20,97,N.data,923,16
101,21,47,10,242,6
101,21,47,N.data,327,13
101,22,81,10,336,6
101,22,81,N.data,677,19
101,3,220,10,1222,5
101,3,220,N.data,2941,24
101,4,189,10,795,5
101,4,189,N.data,1923,18
101,5,213,10,897,6
101,5,213,N.data,2006,17
101,6,181,10,1299,8
101,6,181,N.data,2379,23
101,7,147,10,680,5
101,7,147,N.data,1370,19
101,8,143,10,653,4
101,8,143,N.data,1442,21
101,9,132,10,774,6
101,9,132,N.data,1327,19
101,X,135,10,619,6
101,X,135,N.data,1190,18
101,Y,22,10,94,6
101,Y,22,N.data,102,7
102,1,498,10,1801,6
102,1,498,N.data,5069,17
102,10,163,10,854,7
102,10,163,N.data,1912,25
102,11,169,10,1132,7
102,11,169,N.data,1997,21
102,12,219,10,1007,6
102,12,219,N.data,1981,16
102,13,110,10,548,6
102,13,110,N.data,964,17
102,14,105,10,604,6
102,14,105,N.data,973,16
102,15,93,10,426,5
102,15,93,N.data,849,17
102,16,94,10,396,5
102,16,94,N.data,736,16
102,17,176,10,719,4
102,17,176,N.data,1807,19
102,18,87,10,494,5
102,18,87,N.data,1006,22
102,19,61,10,235,6
102,19,61,N.data,413,15
102,2,291,10,1215,4
102,2,291,N.data,3168,19
102,20,97,10,415,5
102,20,97,N.data,773,15
102,21,46,10,175,5
102,21,46,N.data,277,12
102,22,81,10,353,5
102,22,81,N.data,655,17
102,3,224,10,974,5
102,3,224,N.data,2049,16
102,4,191,10,1072,7
102,4,191,N.data,2095,18
102,5,214,10,1083,5
102,5,214,N.data,2479,20
102,6,181,10,814,6
102,6,181,N.data,1940,19
102,7,146,10,448,6
102,7,146,N.data,1172,15
102,8,143,10,659,5
102,8,143,N.data,1445,20
102,9,133,10,551,5
102,9,133,N.data,994,15
102,X,137,10,508,5
102,X,137,N.data,1222,18
102,Y,22,10,81,4
102,Y,22,N.data,90,8
103,1,476,10,2171,5
103,1,476,N.data,4828,18
103,10,133,10,532,6
103,10,133,N.data,1169,16
103,11,149,10,688,6
103,11,149,N.data,1193,14
103,12,193,10,1060,8
103,12,193,N.data,1866,20
103,13,82,10,384,5
103,13,82,N.data,616,12
103,14,89,10,561,6
103,14,89,N.data,927,17
103,15,83,10,360,4
103,15,83,N.data,746,16
103,16,90,10,378,7
103,16,90,N.data,678,13
103,17,166,10,727,4
103,17,166,N.data,1351,14
103,18,76,10,456,7
103,18,76,N.data,693,21
103,19,52,10,330,7
103,19,52,N.data,497,17
103,2,242,10,1320,5
103,2,242,N.data,2735,22
103,20,86,10,395,5
103,20,86,N.data,593,11
