data.seed,n.segments,method,selected
1,2,10-fold 10 times penaltyExp -0.5 min loss,2
1,2,2-fold 50 times penaltyExp -0.5 min loss,2
1,2,50% 100 times penaltyExp -0.5 min loss,2
1,2,10% 100 times penaltyExp 0 min loss,2
1,2,10-fold 10 times penaltyExp 0 min loss,2
1,2,2-fold 50 times penaltyExp 0 min loss,2
1,2,50% 100 times penaltyExp 0 min loss,2
1,2,10% 100 times penaltyExp -1 max freq,2
1,2,10-fold 10 times penaltyExp -1 max freq,2
1,2,2-fold 50 times penaltyExp -1 max freq,2
1,2,50% 100 times penaltyExp -1 max freq,2
1,2,10% 100 times penaltyExp -0.5 max freq,2
1,2,10-fold 10 times penaltyExp -0.5 max freq,2
1,2,2-fold 50 times penaltyExp -0.5 max freq,2
1,2,50% 100 times penaltyExp -0.5 max freq,2
1,2,10% 100 times penaltyExp 0 max freq,2
1,2,10-fold 10 times penaltyExp 0 max freq,2
1,2,2-fold 50 times penaltyExp 0 max freq,2
1,2,50% 100 times penaltyExp 0 max freq,2
1,2,"10% 100 times min err, min segs",1
1,2,"10-fold 10 times min err, min segs",1
1,2,"2-fold 50 times min err, min segs",2
1,2,"50% 100 times min err, min segs",2
1,2,"10% 100 times min err, max times",2
1,2,"10-fold 10 times min err, max times",2
1,2,"2-fold 50 times min err, max times",3
1,2,"50% 100 times min err, max times",2
1,2,"10% 100 times mean err, min err",3
1,2,"10-fold 10 times mean err, min err",3
1,2,"2-fold 50 times mean err, min err",2
1,2,"50% 100 times mean err, min err",2
1,5,10% 100 times penaltyExp -1 min loss,6
1,5,10-fold 10 times penaltyExp -1 min loss,6
1,5,2-fold 50 times penaltyExp -1 min loss,5
1,5,50% 100 times penaltyExp -1 min loss,5
1,5,10% 100 times penaltyExp -0.5 min loss,6
1,5,10-fold 10 times penaltyExp -0.5 min loss,6
1,5,2-fold 50 times penaltyExp -0.5 min loss,5
1,5,50% 100 times penaltyExp -0.5 min loss,5
1,5,10% 100 times penaltyExp 0 min loss,6
1,5,10-fold 10 times penaltyExp 0 min loss,6
1,5,2-fold 50 times penaltyExp 0 min loss,6
1,5,50% 100 times penaltyExp 0 min loss,6
1,5,10% 100 times penaltyExp -1 max freq,5
1,5,10-fold 10 times penaltyExp -1 max freq,5
1,5,2-fold 50 times penaltyExp -1 max freq,5
1,5,50% 100 times penaltyExp -1 max freq,5
1,5,10% 100 times penaltyExp -0.5 max freq,5
1,5,10-fold 10 times penaltyExp -0.5 max freq,5
1,5,2-fold 50 times penaltyExp -0.5 max freq,5
1,5,50% 100 times penaltyExp -0.5 max freq,5
1,5,10% 100 times penaltyExp 0 max freq,5
1,5,10-fold 10 times penaltyExp 0 max freq,5
1,5,2-fold 50 times penaltyExp 0 max freq,6
1,5,50% 100 times penaltyExp 0 max freq,5
1,5,"10% 100 times min err, min segs",3
1,5,"10-fold 10 times min err, min segs",3
1,5,"2-fold 50 times min err, min segs",5
1,5,"50% 100 times min err, min segs",5
1,5,"10% 100 times min err, max times",5
1,5,"10-fold 10 times min err, max times",5
1,5,"2-fold 50 times min err, max times",5
1,5,"50% 100 times min err, max times",5
1,5,"10% 100 times mean err, min err",6
1,5,"10-fold 10 times mean err, min err",6
1,5,"2-fold 50 times mean err, min err",6
1,5,"50% 100 times mean err, min err",6
1,10,10% 100 times penaltyExp -1 min loss,12
1,10,10-fold 10 times penaltyExp -1 min loss,10
1,10,2-fold 50 times penaltyExp -1 min loss,10
1,10,50% 100 times penaltyExp -1 min loss,10
1,10,10% 100 times penaltyExp -0.5 min loss,12
1,10,10-fold 10 times penaltyExp -0.5 min loss,10
1,10,2-fold 50 times penaltyExp -0.5 min loss,10
1,10,50% 100 times penaltyExp -0.5 min loss,10
1,10,10% 100 times penaltyExp 0 min loss,12
1,10,10-fold 10 times penaltyExp 0 min loss,11
1,10,2-fold 50 times penaltyExp 0 min loss,10
1,10,50% 100 times penaltyExp 0 min loss,11
1,10,10% 100 times penaltyExp -1 max freq,10
1,10,10-fold 10 times penaltyExp -1 max freq,10
1,10,2-fold 50 times penaltyExp -1 max freq,10
1,10,50% 100 times penaltyExp -1 max freq,10
1,10,10% 100 times penaltyExp -0.5 max freq,10
1,10,10-fold 10 times penaltyExp -0.5 max freq,10
1,10,2-fold 50 times penaltyExp -0.5 max freq,10
1,10,50% 100 times penaltyExp -0.5 max freq,10
1,10,10% 100 times penaltyExp 0 max freq,10
1,10,10-fold 10 times penaltyExp 0 max freq,10
1,10,2-fold 50 times penaltyExp 0 max freq,10
1,10,50% 100 times penaltyExp 0 max freq,10
1,10,"10% 100 times min err, min segs",8
1,10,"10-fold 10 times min err, min segs",6
1,10,"2-fold 50 times min err, min segs",9
1,10,"50% 100 times min err, min segs",10
1,10,"10% 100 times min err, max times",10
1,10,"10-fold 10 times min err, max times",10
1,10,"2-fold 50 times min err, max times",10
1,10,"50% 100 times min err, max times",10
1,10,"10% 100 times mean err, min err",12
1,10,"10-fold 10 times mean err, min err",11
1,10,"2-fold 50 times mean err, min err",10
1,10,"50% 100 times mean err, min err",11
1,15,10% 100 times penaltyExp -1 min loss,15
1,15,10-fold 10 times penaltyExp -1 min loss,15
1,15,2-fold 50 times penaltyExp -1 min loss,15
1,15,50% 100 times penaltyExp -1 min loss,15
1,15,10% 100 times penaltyExp -0.5 min loss,15
1,15,10-fold 10 times penaltyExp -0.5 min loss,15
1,15,2-fold 50 times penaltyExp -0.5 min loss,15
1,15,50% 100 times penaltyExp -0.5 min loss,15
1,15,10% 100 times penaltyExp 0 min loss,15
1,15,10-fold 10 times penaltyExp 0 min loss,16
1,15,2-fold 50 times penaltyExp 0 min loss,15
1,15,50% 100 times penaltyExp 0 min loss,15
1,15,10% 100 times penaltyExp -1 max freq,15
1,15,10-fold 10 times penaltyExp -1 max freq,15
1,15,2-fold 50 times penaltyExp -1 max freq,15
1,15,50% 100 times penaltyExp -1 max freq,15
1,15,10% 100 times penaltyExp -0.5 max freq,15
1,15,10-fold 10 times penaltyExp -0.5 max freq,15
1,15,2-fold 50 times penaltyExp -0.5 max freq,15
1,15,50% 100 times penaltyExp -0.5 max freq,15
1,15,10% 100 times penaltyExp 0 max freq,15
1,15,10-fold 10 times penaltyExp 0 max freq,15
1,15,2-fold 50 times penaltyExp 0 max freq,15
1,15,50% 100 times penaltyExp 0 max freq,15
1,15,"10% 100 times min err, min segs",12
1,15,"10-fold 10 times min err, min segs",11
1,15,"2-fold 50 times min err, min segs",14
1,15,"50% 100 times min err, min segs",14
1,15,"10% 100 times min err, max times",15
1,15,"10-fold 10 times min err, max times",15
1,15,"2-fold 50 times min err, max times",15
1,15,"50% 100 times min err, max times",15
1,15,"10% 100 times mean err, min err",16
1,15,"10-fold 10 times mean err, min err",15
1,15,"2-fold 50 times mean err, min err",15
1,15,"50% 100 times mean err, min err",15
1,20,10% 100 times penaltyExp -1 min loss,20
1,20,10-fold 10 times penaltyExp -1 min loss,20
1,20,2-fold 50 times penaltyExp -1 min loss,20
1,20,50% 100 times penaltyExp -1 min loss,20
1,20,10% 100 times penaltyExp -0.5 min loss,20
1,20,10-fold 10 times penaltyExp -0.5 min loss,20
1,20,2-fold 50 times penaltyExp -0.5 min loss,20
1,20,50% 100 times penaltyExp -0.5 min loss,20
1,20,10% 100 times penaltyExp 0 min loss,21
1,20,10-fold 10 times penaltyExp 0 min loss,21
1,20,2-fold 50 times penaltyExp 0 min loss,20
1,20,50% 100 times penaltyExp 0 min loss,20
1,20,10% 100 times penaltyExp -1 max freq,20
1,20,10-fold 10 times penaltyExp -1 max freq,20
1,20,2-fold 50 times penaltyExp -1 max freq,20
1,20,50% 100 times penaltyExp -1 max freq,20
1,20,10% 100 times penaltyExp -0.5 max freq,20
1,20,10-fold 10 times penaltyExp -0.5 max freq,20
1,20,2-fold 50 times penaltyExp -0.5 max freq,20
1,20,50% 100 times penaltyExp -0.5 max freq,20
1,20,10% 100 times penaltyExp 0 max freq,20
1,20,10-fold 10 times penaltyExp 0 max freq,20
1,20,2-fold 50 times penaltyExp 0 max freq,20
1,20,50% 100 times penaltyExp 0 max freq,20
1,20,"10% 100 times min err, min segs",18
1,20,"10-fold 10 times min err, min segs",18
1,20,"2-fold 50 times min err, min segs",19
1,20,"50% 100 times min err, min segs",19
1,20,"10% 100 times min err, max times",20
1,20,"10-fold 10 times min err, max times",20
1,20,"2-fold 50 times min err, max times",20
1,20,"50% 100 times min err, max times",20
1,20,"10% 100 times mean err, min err",20
1,20,"10-fold 10 times mean err, min err",20
1,20,"2-fold 50 times mean err, min err",20
1,20,"50% 100 times mean err, min err",20
2,1,10% 100 times penaltyExp -1 min loss,6
2,1,10-fold 10 times penaltyExp -1 min loss,4
2,1,2-fold 50 times penaltyExp -1 min loss,6
2,1,50% 100 times penaltyExp -1 min loss,6
2,1,10% 100 times penaltyExp -0.5 min loss,6
2,1,10-fold 10 times penaltyExp -0.5 min loss,4
2,1,2-fold 50 times penaltyExp -0.5 min loss,6
2,1,50% 100 times penaltyExp -0.5 min loss,8
2,1,10% 100 times penaltyExp 0 min loss,6
2,1,10-fold 10 times penaltyExp 0 min loss,4
2,1,2-fold 50 times penaltyExp 0 min loss,6
2,1,50% 100 times penaltyExp 0 min loss,8
2,1,10% 100 times penaltyExp -1 max freq,2
2,1,10-fold 10 times penaltyExp -1 max freq,2
2,1,2-fold 50 times penaltyExp -1 max freq,6
2,1,50% 100 times penaltyExp -1 max freq,6
2,1,10% 100 times penaltyExp -0.5 max freq,2
2,1,10-fold 10 times penaltyExp -0.5 max freq,2
2,1,2-fold 50 times penaltyExp -0.5 max freq,6
2,1,50% 100 times penaltyExp -0.5 max freq,6
2,1,10% 100 times penaltyExp 0 max freq,2
2,1,10-fold 10 times penaltyExp 0 max freq,2
2,1,2-fold 50 times penaltyExp 0 max freq,6
2,1,50% 100 times penaltyExp 0 max freq,6
2,1,"10% 100 times min err, min segs",1
2,1,"10-fold 10 times min err, min segs",1
2,1,"2-fold 50 times min err, min segs",1
2,1,"50% 100 times min err, min segs",1
2,1,"10% 100 times min err, max times",2
2,1,"10-fold 10 times min err, max times",2
2,1,"2-fold 50 times min err, max times",4
2,1,"50% 100 times min err, max times",4
2,1,"10% 100 times mean err, min err",6
2,1,"10-fold 10 times mean err, min err",3
2,1,"2-fold 50 times mean err, min err",4
2,1,"50% 100 times mean err, min err",4
2,2,10% 100 times penaltyExp -1 min loss,8
2,2,10-fold 10 times penaltyExp -1 min loss,7
2,2,2-fold 50 times penaltyExp -1 min loss,7
2,2,50% 100 times penaltyExp -1 min loss,8
2,2,10% 100 times penaltyExp -0.5 min loss,8
2,2,10-fold 10 times penaltyExp -0.5 min loss,7
2,2,2-fold 50 times penaltyExp -0.5 min loss,8
2,2,50% 100 times penaltyExp -0.5 min loss,8
2,2,10% 100 times penaltyExp 0 min loss,8
2,2,10-fold 10 times penaltyExp 0 min loss,7
2,2,2-fold 50 times penaltyExp 0 min loss,8
2,2,50% 100 times penaltyExp 0 min loss,10
2,2,10% 100 times penaltyExp -1 max freq,3
2,2,10-fold 10 times penaltyExp -1 max freq,3
2,2,2-fold 50 times penaltyExp -1 max freq,5
2,2,50% 100 times penaltyExp -1 max freq,5
2,2,10% 100 times penaltyExp -0.5 max freq,3
2,2,10-fold 10 times penaltyExp -0.5 max freq,3
2,2,2-fold 50 times penaltyExp -0.5 max freq,6
2,2,50% 100 times penaltyExp -0.5 max freq,6
2,2,10% 100 times penaltyExp 0 max freq,3
2,2,10-fold 10 times penaltyExp 0 max freq,3
2,2,2-fold 50 times penaltyExp 0 max freq,7
2,2,50% 100 times penaltyExp 0 max freq,7
2,2,"10% 100 times min err, min segs",1
2,2,"10-fold 10 times min err, min segs",1
2,2,"2-fold 50 times min err, min segs",2
2,2,"50% 100 times min err, min segs",2
2,2,"10% 100 times min err, max times",4
2,2,"10-fold 10 times min err, max times",3
2,2,"2-fold 50 times min err, max times",5
2,2,"50% 100 times min err, max times",4
2,2,"10% 100 times mean err, min err",7
2,2,"10-fold 10 times mean err, min err",8
2,2,"2-fold 50 times mean err, min err",9
2,2,"50% 100 times mean err, min err",6
2,5,10% 100 times penaltyExp -1 min loss,27
2,5,10-fold 10 times penaltyExp -1 min loss,15
2,5,2-fold 50 times penaltyExp -1 min loss,17
2,5,50% 100 times penaltyExp -1 min loss,20
2,5,10% 100 times penaltyExp -0.5 min loss,27
2,5,10-fold 10 times penaltyExp -0.5 min loss,17
2,5,2-fold 50 times penaltyExp -0.5 min loss,20
2,5,50% 100 times penaltyExp -0.5 min loss,26
2,5,10% 100 times penaltyExp 0 min loss,27
2,5,10-fold 10 times penaltyExp 0 min loss,17
2,5,2-fold 50 times penaltyExp 0 min loss,26
2,5,50% 100 times penaltyExp 0 min loss,27
2,5,10% 100 times penaltyExp -1 max freq,15
2,5,10-fold 10 times penaltyExp -1 max freq,8
2,5,2-fold 50 times penaltyExp -1 max freq,17
2,5,50% 100 times penaltyExp -1 max freq,17
2,5,10% 100 times penaltyExp -0.5 max freq,16
2,5,10-fold 10 times penaltyExp -0.5 max freq,8
2,5,2-fold 50 times penaltyExp -0.5 max freq,20
2,5,50% 100 times penaltyExp -0.5 max freq,20
2,5,10% 100 times penaltyExp 0 max freq,17
2,5,10-fold 10 times penaltyExp 0 max freq,8
2,5,2-fold 50 times penaltyExp 0 max freq,26
2,5,50% 100 times penaltyExp 0 max freq,26
2,5,"10% 100 times min err, min segs",3
2,5,"10-fold 10 times min err, min segs",4
2,5,"2-fold 50 times min err, min segs",5
2,5,"50% 100 times min err, min segs",5
2,5,"10% 100 times min err, max times",8
2,5,"10-fold 10 times min err, max times",8
2,5,"2-fold 50 times min err, max times",7
2,5,"50% 100 times min err, max times",7
2,5,"10% 100 times mean err, min err",17
2,5,"10-fold 10 times mean err, min err",17
2,5,"2-fold 50 times mean err, min err",15
2,5,"50% 100 times mean err, min err",15
2,10,10% 100 times penaltyExp -1 min loss,13
2,10,10-fold 10 times penaltyExp -1 min loss,13
2,10,2-fold 50 times penaltyExp -1 min loss,10
2,10,50% 100 times penaltyExp -1 min loss,10
2,10,10% 100 times penaltyExp -0.5 min loss,13
2,10,10-fold 10 times penaltyExp -0.5 min loss,13
2,10,2-fold 50 times penaltyExp -0.5 min loss,13
2,10,50% 100 times penaltyExp -0.5 min loss,13
2,10,10% 100 times penaltyExp 0 min loss,13
2,10,10-fold 10 times penaltyExp 0 min loss,13
2,10,2-fold 50 times penaltyExp 0 min loss,13
2,10,50% 100 times penaltyExp 0 min loss,13
2,10,10% 100 times penaltyExp -1 max freq,13
2,10,10-fold 10 times penaltyExp -1 max freq,13
2,10,2-fold 50 times penaltyExp -1 max freq,13
2,10,50% 100 times penaltyExp -1 max freq,10
2,10,10% 100 times penaltyExp -0.5 max freq,13
2,10,10-fold 10 times penaltyExp -0.5 max freq,13
2,10,2-fold 50 times penaltyExp -0.5 max freq,13
2,10,50% 100 times penaltyExp -0.5 max freq,13
2,10,10% 100 times penaltyExp 0 max freq,13
2,10,10-fold 10 times penaltyExp 0 max freq,13
2,10,2-fold 50 times penaltyExp 0 max freq,14
2,10,50% 100 times penaltyExp 0 max freq,13
2,10,"10% 100 times min err, min segs",7
2,10,"10-fold 10 times min err, min segs",8
2,10,"2-fold 50 times min err, min segs",10
2,10,"50% 100 times min err, min segs",10
2,10,"10% 100 times min err, max times",13
2,10,"10-fold 10 times min err, max times",13
2,10,"2-fold 50 times min err, max times",11
2,10,"50% 100 times min err, max times",13
2,10,"10% 100 times mean err, min err",13
2,10,"10-fold 10 times mean err, min err",13
2,10,"2-fold 50 times mean err, min err",11
2,10,"50% 100 times mean err, min err",11
2,15,10% 100 times penaltyExp -1 min loss,21
2,15,10-fold 10 times penaltyExp -1 min loss,23
2,15,2-fold 50 times penaltyExp -1 min loss,25
2,15,50% 100 times penaltyExp -1 min loss,23
2,15,10% 100 times penaltyExp -0.5 min loss,21
2,15,10-fold 10 times penaltyExp -0.5 min loss,23
2,15,2-fold 50 times penaltyExp -0.5 min loss,31
2,15,50% 100 times penaltyExp -0.5 min loss,29
2,15,10% 100 times penaltyExp 0 min loss,22
2,15,10-fold 10 times penaltyExp 0 min loss,23
2,15,2-fold 50 times penaltyExp 0 min loss,40
2,15,50% 100 times penaltyExp 0 min loss,40
2,15,10% 100 times penaltyExp -1 max freq,18
2,15,10-fold 10 times penaltyExp -1 max freq,19
2,15,2-fold 50 times penaltyExp -1 max freq,16
2,15,50% 100 times penaltyExp -1 max freq,19
2,15,10% 100 times penaltyExp -0.5 max freq,18
2,15,10-fold 10 times penaltyExp -0.5 max freq,19
2,15,2-fold 50 times penaltyExp -0.5 max freq,19
2,15,50% 100 times penaltyExp -0.5 max freq,21
2,15,10% 100 times penaltyExp 0 max freq,19
2,15,10-fold 10 times penaltyExp 0 max freq,19
2,15,2-fold 50 times penaltyExp 0 max freq,21
2,15,50% 100 times penaltyExp 0 max freq,25
2,15,"10% 100 times min err, min segs",12
2,15,"10-fold 10 times min err, min segs",14
2,15,"2-fold 50 times min err, min segs",15
2,15,"50% 100 times min err, min segs",15
2,15,"10% 100 times min err, max times",21
2,15,"10-fold 10 times min err, max times",21
2,15,"2-fold 50 times min err, max times",21
2,15,"50% 100 times min err, max times",18
2,15,"10% 100 times mean err, min err",21
2,15,"10-fold 10 times mean err, min err",21
2,15,"2-fold 50 times mean err, min err",21
2,15,"50% 100 times mean err, min err",19
2,20,10% 100 times penaltyExp -1 min loss,31
2,20,10-fold 10 times penaltyExp -1 min loss,31
2,20,2-fold 50 times penaltyExp -1 min loss,22
2,20,50% 100 times penaltyExp -1 min loss,28
2,20,10% 100 times penaltyExp -0.5 min loss,31
2,20,10-fold 10 times penaltyExp -0.5 min loss,31
2,20,2-fold 50 times penaltyExp -0.5 min loss,29
2,20,50% 100 times penaltyExp -0.5 min loss,30
2,20,10% 100 times penaltyExp 0 min loss,32
2,20,10-fold 10 times penaltyExp 0 min loss,32
2,20,2-fold 50 times penaltyExp 0 min loss,31
2,20,50% 100 times penaltyExp 0 min loss,34
2,20,10% 100 times penaltyExp -1 max freq,21
2,20,10-fold 10 times penaltyExp -1 max freq,20
2,20,2-fold 50 times penaltyExp -1 max freq,20
2,20,50% 100 times penaltyExp -1 max freq,20
2,20,10% 100 times penaltyExp -0.5 max freq,21
2,20,10-fold 10 times penaltyExp -0.5 max freq,20
2,20,2-fold 50 times penaltyExp -0.5 max freq,21
2,20,50% 100 times penaltyExp -0.5 max freq,21
2,20,10% 100 times penaltyExp 0 max freq,21
2,20,10-fold 10 times penaltyExp 0 max freq,20
2,20,2-fold 50 times penaltyExp 0 max freq,21
2,20,50% 100 times penaltyExp 0 max freq,21
2,20,"10% 100 times min err, min segs",18
2,20,"10-fold 10 times min err, min segs",17
2,20,"2-fold 50 times min err, min segs",20
2,20,"50% 100 times min err, min segs",19
2,20,"10% 100 times min err, max times",20
2,20,"10-fold 10 times min err, max times",20
2,20,"2-fold 50 times min err, max times",20
2,20,"50% 100 times min err, max times",21
2,20,"10% 100 times mean err, min err",30
2,20,"10-fold 10 times mean err, min err",32
2,20,"2-fold 50 times mean err, min err",23
2,20,"50% 100 times mean err, min err",25
3,1,10% 100 times penaltyExp -1 min loss,1
3,1,10-fold 10 times penaltyExp -1 min loss,1
3,1,2-fold 50 times penaltyExp -1 min loss,1
3,1,50% 100 times penaltyExp -1 min loss,1
3,1,10% 100 times penaltyExp -0.5 min loss,1
3,1,10-fold 10 times penaltyExp -0.5 min loss,1
3,1,2-fold 50 times penaltyExp -0.5 min loss,1
3,1,50% 100 times penaltyExp -0.5 min loss,1
3,1,10% 100 times penaltyExp 0 min loss,1
3,1,10-fold 10 times penaltyExp 0 min loss,1
3,1,2-fold 50 times penaltyExp 0 min loss,1
3,1,50% 100 times penaltyExp 0 min loss,1
3,1,10% 100 times penaltyExp -1 max freq,3
3,1,10-fold 10 times penaltyExp -1 max freq,3
3,1,2-fold 50 times penaltyExp -1 max freq,1
3,1,50% 100 times penaltyExp -1 max freq,1
3,1,10% 100 times penaltyExp -0.5 max freq,3
3,1,10-fold 10 times penaltyExp -0.5 max freq,3
3,1,2-fold 50 times penaltyExp -0.5 max freq,1
3,1,50% 100 times penaltyExp -0.5 max freq,1
3,1,10% 100 times penaltyExp 0 max freq,3
3,1,10-fold 10 times penaltyExp 0 max freq,3
3,1,2-fold 50 times penaltyExp 0 max freq,1
3,1,50% 100 times penaltyExp 0 max freq,1
3,1,"10% 100 times min err, min segs",1
3,1,"10-fold 10 times min err, min segs",1
3,1,"2-fold 50 times min err, min segs",1
3,1,"50% 100 times min err, min segs",1
3,1,"10% 100 times min err, max times",3
3,1,"10-fold 10 times min err, max times",3
3,1,"2-fold 50 times min err, max times",1
3,1,"50% 100 times min err, max times",1
3,1,"10% 100 times mean err, min err",1
3,1,"10-fold 10 times mean err, min err",1
3,1,"2-fold 50 times mean err, min err",1
3,1,"50% 100 times mean err, min err",1
3,2,10% 100 times penaltyExp -1 min loss,3
3,2,10-fold 10 times penaltyExp -1 min loss,3
3,2,2-fold 50 times penaltyExp -1 min loss,2
3,2,50% 100 times penaltyExp -1 min loss,3
3,2,10% 100 times penaltyExp -0.5 min loss,3
3,2,10-fold 10 times penaltyExp -0.5 min loss,3
3,2,2-fold 50 times penaltyExp -0.5 min loss,3
3,2,50% 100 times penaltyExp -0.5 min loss,3
3,2,10% 100 times penaltyExp 0 min loss,3
3,2,10-fold 10 times penaltyExp 0 min loss,3
3,2,2-fold 50 times penaltyExp 0 min loss,3
3,2,50% 100 times penaltyExp 0 min loss,3
3,2,10% 100 times penaltyExp -1 max freq,2
3,2,10-fold 10 times penaltyExp -1 max freq,3
3,2,2-fold 50 times penaltyExp -1 max freq,2
3,2,50% 100 times penaltyExp -1 max freq,3
3,2,10% 100 times penaltyExp -0.5 max freq,2
3,2,10-fold 10 times penaltyExp -0.5 max freq,3
3,2,2-fold 50 times penaltyExp -0.5 max freq,3
3,2,50% 100 times penaltyExp -0.5 max freq,3
3,2,10% 100 times penaltyExp 0 max freq,2
3,2,10-fold 10 times penaltyExp 0 max freq,3
3,2,2-fold 50 times penaltyExp 0 max freq,3
3,2,50% 100 times penaltyExp 0 max freq,3
3,2,"10% 100 times min err, min segs",1
3,2,"10-fold 10 times min err, min segs",1
3,2,"2-fold 50 times min err, min segs",1
3,2,"50% 100 times min err, min segs",2
3,2,"10% 100 times min err, max times",2
3,2,"10-fold 10 times min err, max times",2
3,2,"2-fold 50 times min err, max times",3
3,2,"50% 100 times min err, max times",3
3,2,"10% 100 times mean err, min err",3
3,2,"10-fold 10 times mean err, min err",3
3,2,"2-fold 50 times mean err, min err",3
3,2,"50% 100 times mean err, min err",3
3,5,10% 100 times penaltyExp -1 min loss,8
3,5,10-fold 10 times penaltyExp -1 min loss,8
3,5,2-fold 50 times penaltyExp -1 min loss,6
3,5,50% 100 times penaltyExp -1 min loss,7
3,5,10% 100 times penaltyExp -0.5 min loss,8
3,5,10-fold 10 times penaltyExp -0.5 min loss,8
3,5,2-fold 50 times penaltyExp -0.5 min loss,8
3,5,50% 100 times penaltyExp -0.5 min loss,8
3,5,10% 100 times penaltyExp 0 min loss,8
3,5,10-fold 10 times penaltyExp 0 min loss,8
3,5,2-fold 50 times penaltyExp 0 min loss,10
3,5,50% 100 times penaltyExp 0 min loss,12
3,5,10% 100 times penaltyExp -1 max freq,6
3,5,10-fold 10 times penaltyExp -1 max freq,5
3,5,2-fold 50 times penaltyExp -1 max freq,6
3,5,50% 100 times penaltyExp -1 max freq,7
3,5,10% 100 times penaltyExp -0.5 max freq,6
3,5,10-fold 10 times penaltyExp -0.5 max freq,5
3,5,2-fold 50 times penaltyExp -0.5 max freq,8
3,5,50% 100 times penaltyExp -0.5 max freq,8
3,5,10% 100 times penaltyExp 0 max freq,6
3,5,10-fold 10 times penaltyExp 0 max freq,5
3,5,2-fold 50 times penaltyExp 0 max freq,8
3,5,50% 100 times penaltyExp 0 max freq,12
3,5,"10% 100 times min err, min segs",4
3,5,"10-fold 10 times min err, min segs",3
3,5,"2-fold 50 times min err, min segs",5
3,5,"50% 100 times min err, min segs",5
3,5,"10% 100 times min err, max times",5
3,5,"10-fold 10 times min err, max times",5
3,5,"2-fold 50 times min err, max times",6
3,5,"50% 100 times min err, max times",6
3,5,"10% 100 times mean err, min err",8
3,5,"10-fold 10 times mean err, min err",10
3,5,"2-fold 50 times mean err, min err",7
3,5,"50% 100 times mean err, min err",14
3,10,10% 100 times penaltyExp -1 min loss,15
3,10,10-fold 10 times penaltyExp -1 min loss,15
3,10,2-fold 50 times penaltyExp -1 min loss,12
3,10,50% 100 times penaltyExp -1 min loss,11
3,10,10% 100 times penaltyExp -0.5 min loss,15
3,10,10-fold 10 times penaltyExp -0.5 min loss,15
3,10,2-fold 50 times penaltyExp -0.5 min loss,15
3,10,50% 100 times penaltyExp -0.5 min loss,14
3,10,10% 100 times penaltyExp 0 min loss,15
3,10,10-fold 10 times penaltyExp 0 min loss,15
3,10,2-fold 50 times penaltyExp 0 min loss,22
3,10,50% 100 times penaltyExp 0 min loss,15
3,10,10% 100 times penaltyExp -1 max freq,15
3,10,10-fold 10 times penaltyExp -1 max freq,15
3,10,2-fold 50 times penaltyExp -1 max freq,12
3,10,50% 100 times penaltyExp -1 max freq,11
3,10,10% 100 times penaltyExp -0.5 max freq,15
3,10,10-fold 10 times penaltyExp -0.5 max freq,15
3,10,2-fold 50 times penaltyExp -0.5 max freq,15
3,10,50% 100 times penaltyExp -0.5 max freq,11
3,10,10% 100 times penaltyExp 0 max freq,15
3,10,10-fold 10 times penaltyExp 0 max freq,15
3,10,2-fold 50 times penaltyExp 0 max freq,22
3,10,50% 100 times penaltyExp 0 max freq,15
