data.seed,n.segments,method,selected
1,1,10% 100 times penaltyExp -1 min loss,1
1,1,10-fold 10 times penaltyExp -1 min loss,1
1,1,2-fold 50 times penaltyExp -1 min loss,1
1,1,50% 100 times penaltyExp -1 min loss,1
1,1,10% 100 times penaltyExp -0.5 min loss,1
1,1,10-fold 10 times penaltyExp -0.5 min loss,1
1,1,2-fold 50 times penaltyExp -0.5 min loss,1
1,1,50% 100 times penaltyExp -0.5 min loss,1
1,1,10% 100 times penaltyExp 0 min loss,1
1,1,10-fold 10 times penaltyExp 0 min loss,1
1,1,2-fold 50 times penaltyExp 0 min loss,1
1,1,50% 100 times penaltyExp 0 min loss,1
1,1,10% 100 times penaltyExp -1 max freq,1
1,1,10-fold 10 times penaltyExp -1 max freq,1
1,1,2-fold 50 times penaltyExp -1 max freq,1
1,1,50% 100 times penaltyExp -1 max freq,1
1,1,10% 100 times penaltyExp -0.5 max freq,1
1,1,10-fold 10 times penaltyExp -0.5 max freq,1
1,1,2-fold 50 times penaltyExp -0.5 max freq,1
1,1,50% 100 times penaltyExp -0.5 max freq,1
1,1,10% 100 times penaltyExp 0 max freq,1
1,1,10-fold 10 times penaltyExp 0 max freq,1
1,1,2-fold 50 times penaltyExp 0 max freq,1
1,1,50% 100 times penaltyExp 0 max freq,1
1,1,"10% 100 times min err, min segs",1
1,1,"10-fold 10 times min err, min segs",1
1,1,"2-fold 50 times min err, min segs",1
1,1,"50% 100 times min err, min segs",1
1,1,"10% 100 times min err, max times",1
1,1,"10-fold 10 times min err, max times",1
1,1,"2-fold 50 times min err, max times",1
1,1,"50% 100 times min err, max times",1
1,1,"10% 100 times mean err, min err",1
1,1,"10-fold 10 times mean err, min err",1
1,1,"2-fold 50 times mean err, min err",1
1,1,"50% 100 times mean err, min err",1
1,2,10% 100 times penaltyExp -1 min loss,2
1,2,10-fold 10 times penaltyExp -1 min loss,2
1,2,2-fold 50 times penaltyExp -1 min loss,2
1,2,50% 100 times penaltyExp -1 min loss,2
1,2,10% 100 times penaltyExp -0.5 min loss,2
